,,Area,Distance from Origin,Distance to Image Border XY,Ellipticity (oblate),Ellipticity (prolate),Intensity Max Ch=1,Intensity Max Ch=2,Intensity Mean Ch=1,Intensity Mean Ch=2,Intensity Median Ch=1,Intensity Median Ch=2,Intensity Min Ch=1,Intensity Min Ch=2,Intensity StdDev Ch=1,Intensity StdDev Ch=2,Intensity Sum Ch=1,Intensity Sum Ch=2,Number of Vertices,Position,,,Sphericity,Volume
9,40-50 microns from soma center,1.58,94.78,37.50,0.26,0.66,11440.00,16110.00,7129.80,11353.60,6436.75,11302.80,4769.00,8560.00,1827.98,2001.00,106947.00,170304.00,56.00,60.76,71.86,11.32,0.57,0.08
10,40-50 microns from soma center,4.90,94.18,36.90,0.26,0.54,16850.00,24701.00,8119.93,12055.70,7754.98,11482.30,1731.00,7781.00,2928.73,2991.28,470956.00,699228.00,156.00,60.30,71.57,10.51,0.51,0.37
11,40-50 microns from soma center,1.79,94.58,37.40,0.57,0.24,11206.00,15815.00,5972.71,9642.94,5512.78,8808.23,3018.00,7354.00,2228.60,2464.96,101536.00,163930.00,62.00,60.25,72.06,11.08,0.58,0.10
12,40-50 microns from soma center,2.36,94.34,37.82,0.34,0.55,12829.00,16758.00,6874.67,10942.60,6846.63,10184.00,3197.00,8083.00,2507.93,1965.77,164992.00,262622.00,78.00,60.51,71.56,10.80,0.57,0.15
13,40-50 microns from soma center,1.47,94.17,35.82,0.10,0.73,9081.00,9244.00,5181.73,7595.40,4550.17,7388.13,2298.00,6012.00,1801.62,831.04,77726.00,113931.00,54.00,60.51,71.28,11.21,0.52,0.06
14,40-50 microns from soma center,7.31,94.53,36.76,0.57,0.29,13247.00,25928.00,6209.29,11753.00,5827.52,10563.80,2516.00,7375.00,2427.47,3548.76,589883.00,1116540.00,264.00,60.73,71.53,11.49,0.47,0.60
15,40-50 microns from soma center,0.47,94.78,36.79,0.42,0.26,9684.00,10498.00,7158.80,9056.20,5640.39,8210.34,5000.00,8078.00,1912.93,873.76,35794.00,45281.00,22.00,61.06,71.51,11.88,0.65,0.02
16,40-50 microns from soma center,0.78,94.88,37.46,0.54,0.12,8066.00,12194.00,5303.25,8729.25,4802.32,8165.59,3063.00,7212.00,1505.47,1571.48,42426.00,69834.00,30.00,61.55,71.18,12.15,0.59,0.03
17,40-50 microns from soma center,0.81,95.28,37.82,0.23,0.44,6446.00,9499.00,4301.10,7988.90,4108.36,7628.97,3084.00,6883.00,987.76,804.43,43011.00,79889.00,34.00,61.95,71.37,12.18,0.72,0.04
18,40-50 microns from soma center,1.04,95.45,36.10,0.14,0.70,10704.00,13195.00,5787.00,9424.50,5039.77,8573.50,2991.00,7033.00,2220.63,1939.71,57870.00,94245.00,36.00,61.86,71.55,12.85,0.71,0.06
19,40-50 microns from soma center,3.71,95.55,36.15,0.74,0.17,8584.00,17026.00,5697.28,9196.36,5847.14,8819.48,2036.00,6974.00,1869.31,1918.56,205102.00,331069.00,134.00,61.63,71.93,12.53,0.43,0.19
20,40-50 microns from soma center,0.38,95.76,36.38,0.37,0.29,7243.00,9779.00,5384.00,7858.80,5505.30,7229.23,1818.00,7199.00,1891.73,979.54,26920.00,39294.00,22.00,62.27,71.61,12.82,0.53,0.01
21,40-50 microns from soma center,3.15,109.99,36.90,0.41,0.29,11382.00,15966.00,6587.87,10041.10,6352.42,9229.04,2378.00,7869.00,2486.91,2161.36,197636.00,301234.00,102.00,86.00,66.35,17.28,0.46,0.17
22,40-50 microns from soma center,3.88,110.36,35.68,0.23,0.77,11207.00,15608.00,5200.63,9603.08,4951.52,8559.62,1560.00,7331.00,2145.44,2201.23,208025.00,384123.00,130.00,86.30,66.45,17.77,0.47,0.23
23,40-50 microns from soma center,0.38,110.57,35.46,0.20,0.48,6150.00,10182.00,4531.25,8659.50,3870.09,8198.48,3806.00,7578.00,952.95,961.16,18125.00,34638.00,18.00,86.58,66.52,17.45,0.68,0.01
24,40-50 microns from soma center,7.20,109.80,36.38,0.25,0.73,11944.00,18680.00,5176.53,10363.80,4892.16,9562.13,1134.00,7458.00,2273.23,2560.55,445182.00,891284.00,252.00,85.71,66.16,18.22,0.44,0.53
25,40-50 microns from soma center,0.66,109.71,37.02,0.63,0.14,5925.00,9992.00,4413.71,8844.14,4149.97,8262.59,3049.00,7154.00,882.67,1025.38,30896.00,61909.00,30.00,85.70,65.70,19.37,0.59,0.02
26,40-50 microns from soma center,0.52,110.03,37.41,0.15,0.35,6470.00,11347.00,4930.75,9401.25,4270.66,8797.88,3491.00,7618.00,1137.36,1371.12,19723.00,37605.00,18.00,85.91,66.36,17.94,0.73,0.02
27,40-50 microns from soma center,0.43,109.76,37.60,0.50,0.23,7764.00,9326.00,6076.60,7822.20,4578.84,7295.56,4140.00,6974.00,1456.68,838.26,30383.00,39111.00,22.00,85.35,66.36,18.95,0.66,0.01
28,40-50 microns from soma center,1.28,96.31,37.55,0.28,0.33,9860.00,11044.00,5665.54,8264.92,5285.51,7494.52,3390.00,6633.00,1610.59,1268.75,73652.00,107444.00,54.00,62.21,72.34,13.13,0.47,0.04
29,40-50 microns from soma center,0.40,96.63,37.66,0.13,0.45,6220.00,10614.00,5426.67,9649.67,4459.00,8257.00,4459.00,8257.00,729.42,1008.78,16280.00,28949.00,14.00,62.13,72.70,13.85,0.61,0.01
30,40-50 microns from soma center,0.42,96.87,37.41,0.05,0.57,7385.00,12920.00,4830.75,8619.25,3830.66,7347.61,3716.00,6523.00,1496.55,2518.27,19323.00,34477.00,18.00,62.59,72.55,14.19,0.54,0.01
31,40-50 microns from soma center,0.77,97.08,37.40,0.34,0.33,7864.00,13867.00,5752.00,9935.86,5048.52,8706.06,2362.00,7995.00,1815.65,1943.82,40264.00,69551.00,28.00,62.62,72.90,13.71,0.68,0.04
32,40-50 microns from soma center,3.15,97.28,36.32,0.20,0.79,12473.00,13277.00,5143.82,8917.12,4826.22,8366.22,1834.00,7347.00,2231.63,1502.23,174890.00,303182.00,122.00,63.03,72.61,14.77,0.42,0.14
33,40-50 microns from soma center,2.49,98.46,37.15,0.31,0.35,8343.00,16910.00,5486.83,10499.70,5246.59,10218.90,2681.00,6653.00,1712.09,2463.18,126197.00,241492.00,82.00,61.83,75.05,15.45,0.50,0.13
34,40-50 microns from soma center,0.33,98.47,37.00,0.13,0.45,7609.00,13322.00,6346.33,9721.00,4855.00,7819.00,4855.00,7819.00,1135.88,2547.64,19039.00,29163.00,14.00,61.58,75.19,15.85,0.65,0.01
35,40-50 microns from soma center,0.72,99.11,36.85,0.50,0.18,9352.00,12900.00,7319.00,10150.80,8077.39,9118.48,2826.00,8312.00,2269.29,1576.11,43914.00,60905.00,26.00,59.14,78.18,14.58,0.57,0.02
36,40-50 microns from soma center,1.88,98.90,36.89,0.21,0.36,12883.00,16118.00,5727.15,10053.40,5121.13,9113.96,2200.00,7456.00,2574.31,2201.72,114543.00,201068.00,70.00,59.40,77.69,14.73,0.56,0.10
37,40-50 microns from soma center,3.31,97.56,37.07,0.37,0.53,13648.00,17993.00,5883.49,10538.20,5434.89,9812.46,982.00,7574.00,2451.46,2240.72,205922.00,368838.00,108.00,62.86,73.18,14.58,0.54,0.22
38,40-50 microns from soma center,0.18,97.11,37.04,0.12,0.93,7003.00,9580.00,3953.33,8755.33,1099.00,7946.00,1099.00,7946.00,2414.25,667.17,11860.00,26266.00,14.00,62.42,73.18,13.39,0.73,0.00
39,40-50 microns from soma center,12.14,97.12,36.61,0.26,0.70,13578.00,17336.00,5750.67,10432.80,5416.72,10071.00,1906.00,7173.00,2371.28,1809.95,741837.00,1345830.00,410.00,62.57,72.83,14.60,0.35,0.81
40,30-40 microns from soma center,0.29,97.89,43.86,0.13,0.45,9988.00,9929.00,7467.67,9327.67,5986.00,8162.00,5986.00,8162.00,1791.30,824.39,22403.00,27983.00,14.00,63.50,72.95,15.18,0.62,0.01
41,30-40 microns from soma center,2.18,98.07,44.69,0.29,0.36,10524.00,15113.00,7307.17,11040.40,7389.61,9841.94,4053.00,7446.00,2126.41,2229.99,168065.00,253930.00,76.00,63.73,72.87,15.73,0.57,0.13
42,30-40 microns from soma center,0.73,98.15,44.02,0.26,0.68,12210.00,12095.00,7884.44,9815.89,6180.09,8861.17,4253.00,8190.00,2494.45,1286.19,70960.00,88343.00,32.00,63.41,73.22,15.91,0.70,0.03
43,30-40 microns from soma center,3.44,97.88,44.18,0.68,0.20,13181.00,15259.00,6379.57,10617.60,6432.17,10359.30,2106.00,7837.00,2293.97,1851.76,236044.00,392852.00,126.00,62.85,73.38,15.72,0.51,0.22
44,30-40 microns from soma center,0.30,98.29,43.98,0.13,0.45,8208.00,10319.00,6051.67,9639.00,4957.00,8478.00,4957.00,8478.00,1524.82,824.96,18155.00,28917.00,14.00,63.34,73.50,15.72,0.67,0.01
45,30-40 microns from soma center,2.77,98.43,44.52,0.23,0.62,14974.00,19417.00,7764.63,11365.00,7292.46,10476.30,1505.00,8413.00,3221.35,2389.49,186351.00,272759.00,84.00,63.52,73.44,16.16,0.47,0.14
46,30-40 microns from soma center,5.97,98.61,44.25,0.40,0.47,10576.00,18511.00,5160.75,10399.60,4703.03,9739.78,1732.00,7395.00,1862.31,2292.42,314806.00,634373.00,210.00,60.11,76.76,14.80,0.40,0.35
47,30-40 microns from soma center,5.15,99.12,45.29,0.24,0.68,10991.00,21725.00,5127.83,11053.10,4943.44,10349.80,1375.00,6943.00,1931.82,2995.96,389715.00,840032.00,198.00,60.10,77.38,14.97,0.57,0.48
48,30-40 microns from soma center,8.21,100.19,44.79,0.25,0.70,21761.00,26645.00,7930.26,11470.80,7373.78,10644.30,1744.00,7046.00,3521.59,2918.41,753375.00,1089730.00,292.00,59.21,79.48,14.70,0.42,0.59
49,30-40 microns from soma center,0.56,100.26,44.42,0.49,0.19,10404.00,13210.00,6141.29,10836.30,5328.67,10024.80,3775.00,8963.00,1968.31,1515.31,42989.00,75854.00,26.00,59.58,79.31,14.53,0.73,0.02
50,30-40 microns from soma center,0.57,98.79,46.55,0.35,0.50,7925.00,10423.00,6663.83,8366.17,6906.42,7534.56,4353.00,7263.00,1382.90,1147.09,39983.00,50197.00,26.00,61.90,75.41,15.49,0.63,0.02
51,30-40 microns from soma center,0.22,98.59,46.39,0.12,0.93,6824.00,10487.00,4148.33,8712.67,2654.00,7541.00,2654.00,7541.00,1896.29,1275.96,12445.00,26138.00,14.00,61.04,75.92,15.20,0.74,0.01
52,30-40 microns from soma center,0.47,98.92,49.81,0.47,0.32,12877.00,14370.00,9448.25,11494.00,9697.31,11232.40,5477.00,8753.00,2630.32,1991.24,37793.00,45976.00,18.00,60.83,76.49,15.31,0.70,0.02
53,30-40 microns from soma center,1.03,99.27,46.81,0.25,0.51,9493.00,9931.00,4929.31,7527.92,4668.99,7056.58,1092.00,6460.00,2291.01,969.86,64081.00,97863.00,50.00,61.03,76.72,15.63,0.58,0.04
54,30-40 microns from soma center,1.37,99.31,47.25,0.17,0.68,12592.00,13526.00,6693.50,9857.50,5274.85,9175.86,2009.00,8120.00,2759.26,1746.59,80322.00,118290.00,48.00,60.94,76.90,15.31,0.58,0.07
55,30-40 microns from soma center,5.17,99.60,48.07,0.33,0.58,9475.00,22021.00,5052.33,10837.00,4965.09,10322.00,1621.00,6971.00,1649.13,2811.23,318297.00,682730.00,178.00,60.85,77.39,15.08,0.53,0.42
56,30-40 microns from soma center,0.72,99.85,48.63,0.05,0.78,7885.00,13934.00,5069.14,9585.00,4057.98,8727.99,3588.00,7203.00,1479.19,1956.10,35484.00,67095.00,30.00,60.55,77.96,15.06,0.61,0.03
57,30-40 microns from soma center,0.62,99.98,48.53,0.07,0.93,9347.00,14382.00,6388.14,9509.86,5182.44,8469.32,3001.00,8153.00,2137.13,2023.35,44717.00,66569.00,30.00,59.47,78.95,15.02,0.58,0.02
58,30-40 microns from soma center,2.32,97.92,49.95,0.25,0.74,12375.00,19114.00,6892.75,11267.50,6300.94,10052.40,2951.00,8274.00,2452.93,2808.91,165426.00,270420.00,80.00,62.17,74.02,15.68,0.58,0.15
59,30-40 microns from soma center,0.37,98.04,50.42,0.39,0.47,9195.00,13930.00,7754.00,11754.70,5418.00,10016.00,5418.00,10016.00,1666.77,1627.44,23262.00,35264.00,14.00,61.98,74.31,15.73,0.76,0.01
60,30-40 microns from soma center,6.40,98.50,47.53,0.36,0.39,10927.00,19127.00,5218.07,10459.40,4809.23,9616.47,1077.00,6512.00,2113.77,2678.14,396573.00,794914.00,222.00,62.29,74.68,15.66,0.44,0.44
61,30-40 microns from soma center,5.24,98.88,49.18,0.19,0.84,14445.00,17168.00,5805.01,10706.80,5367.21,10132.30,2404.00,7217.00,2228.09,2572.30,406351.00,749477.00,182.00,63.06,74.56,15.57,0.54,0.45
62,30-40 microns from soma center,0.08,99.08,49.61,0.39,0.47,8606.00,8237.00,7278.67,8077.33,5528.00,7976.00,5528.00,7976.00,1291.75,114.25,21836.00,24232.00,14.00,63.31,74.54,15.90,0.80,0.00
63,30-40 microns from soma center,0.33,99.01,49.39,0.39,0.47,9632.00,13910.00,4879.33,10806.00,2444.00,8773.00,2444.00,8773.00,3360.99,2229.72,14638.00,32418.00,14.00,61.57,75.94,15.66,0.75,0.01
64,30-40 microns from soma center,7.67,99.16,50.61,0.73,0.14,13799.00,21619.00,7097.53,9998.08,6933.57,9394.80,2082.00,6927.00,2472.11,2356.54,674265.00,949818.00,276.00,61.55,76.21,15.32,0.42,0.54
65,30-40 microns from soma center,0.28,97.66,51.79,0.13,0.45,9131.00,10454.00,6804.67,9219.67,5489.00,8404.00,5489.00,8404.00,1649.67,887.72,20414.00,27659.00,14.00,63.47,72.47,16.00,0.69,0.01
66,30-40 microns from soma center,3.85,98.15,51.48,0.37,0.52,13476.00,19380.00,7833.67,11836.80,7208.28,11114.30,3868.00,8584.00,2317.28,2266.97,282012.00,426123.00,128.00,63.90,72.68,16.42,0.48,0.24
67,30-40 microns from soma center,0.38,98.13,52.30,0.13,0.45,6192.00,14851.00,5116.00,11784.00,4001.00,9603.00,4001.00,9603.00,894.90,2232.21,15348.00,35352.00,14.00,63.08,73.37,16.37,0.65,0.01
68,30-40 microns from soma center,0.85,97.75,51.29,0.21,0.16,10562.00,10958.00,6889.13,9213.38,5971.29,8660.17,4409.00,8002.00,2224.27,954.52,55113.00,73707.00,34.00,62.56,73.40,15.96,0.52,0.03
69,30-40 microns from soma center,0.30,98.83,51.94,0.39,0.47,14159.00,10830.00,9879.00,10517.70,6906.00,9924.00,6906.00,9924.00,3101.90,419.97,29637.00,31553.00,14.00,63.61,73.93,15.96,0.74,0.01
70,20-30 microns from soma center,1.17,98.26,51.64,0.19,0.22,11124.00,14518.00,7527.67,10257.90,6811.19,9045.71,3664.00,8607.00,2395.50,1881.93,67749.00,92321.00,34.00,64.52,71.99,17.58,0.48,0.04
71,20-30 microns from soma center,10.80,99.10,52.45,0.63,0.24,20272.00,39164.00,8399.99,14116.80,8054.63,12433.40,2088.00,8200.00,3323.09,5606.87,1276800.00,2145760.00,402.00,64.56,73.34,16.54,0.43,0.95
72,20-30 microns from soma center,0.25,99.05,52.72,0.13,0.45,11563.00,11331.00,8035.00,10515.30,5093.00,9851.00,5093.00,9851.00,2673.67,613.61,24105.00,31546.00,14.00,65.21,72.52,17.29,0.62,0.01
73,20-30 microns from soma center,3.70,98.20,51.91,0.16,0.78,17709.00,16960.00,8912.30,12352.60,8120.91,11968.30,3683.00,8267.00,3114.57,1995.76,329755.00,457045.00,122.00,65.44,71.08,17.56,0.49,0.23
74,20-30 microns from soma center,4.28,98.04,53.54,0.16,0.45,13397.00,16115.00,6953.84,10825.90,5886.28,10024.60,1744.00,6608.00,3035.32,2024.74,264246.00,411384.00,138.00,63.94,72.40,16.80,0.40,0.21
75,20-30 microns from soma center,1.25,98.17,52.98,0.19,0.60,14541.00,14419.00,8647.00,10711.90,8571.75,10105.80,3929.00,8814.00,2874.27,1712.81,121058.00,149967.00,50.00,64.17,72.25,17.27,0.62,0.06
76,20-30 microns from soma center,2.06,98.70,53.72,0.38,0.37,12750.00,19198.00,7093.38,11063.20,5871.02,10590.50,1812.00,8705.00,3071.44,2134.66,148961.00,232328.00,74.00,64.56,72.81,16.54,0.54,0.11
77,20-30 microns from soma center,1.90,98.56,53.23,0.32,0.31,12990.00,13617.00,7366.71,10509.00,7116.35,10043.00,3289.00,8562.00,2341.24,1432.02,125234.00,178653.00,62.00,63.85,73.36,16.00,0.51,0.09
78,20-30 microns from soma center,0.84,98.38,54.48,0.37,0.52,9800.00,14345.00,6394.10,9892.20,6132.62,8781.15,3541.00,8179.00,1606.11,1917.97,63941.00,98922.00,38.00,65.25,71.45,17.77,0.72,0.04
79,20-30 microns from soma center,1.94,98.50,54.37,0.29,0.43,9818.00,17613.00,5814.29,10221.00,5366.57,8489.78,1849.00,7546.00,2219.74,2977.58,122100.00,214642.00,74.00,65.00,71.83,17.82,0.54,0.10
80,20-30 microns from soma center,0.50,98.76,54.15,0.20,0.48,6671.00,13558.00,4550.25,10475.80,3302.81,9630.31,2060.00,8454.00,1922.43,1893.28,18201.00,41903.00,18.00,65.18,71.91,18.28,0.65,0.02
81,20-30 microns from soma center,0.23,99.78,54.45,0.13,0.45,6365.00,8796.00,5427.33,7929.00,4684.00,7102.00,4684.00,7102.00,699.89,692.15,16282.00,23787.00,14.00,66.43,72.17,18.28,0.63,0.01
82,20-30 microns from soma center,0.72,99.47,51.92,0.22,0.45,10975.00,14852.00,7214.33,10845.20,6798.56,10223.00,3941.00,8582.00,2084.83,2053.07,43286.00,65071.00,20.00,65.82,72.29,18.36,0.65,0.03
83,20-30 microns from soma center,0.63,100.02,52.12,0.14,0.90,8753.00,11831.00,7186.00,10411.00,7039.84,9893.77,4323.00,9121.00,1469.90,1012.99,43116.00,62466.00,24.00,66.56,72.29,18.62,0.70,0.03
84,20-30 microns from soma center,2.20,98.99,52.81,0.19,0.45,10565.00,14111.00,5377.00,9269.35,4256.63,8695.67,2838.00,6965.00,2277.35,1828.92,123671.00,213195.00,76.00,65.39,71.96,18.60,0.58,0.13
85,20-30 microns from soma center,0.74,116.14,54.82,0.09,0.61,8816.00,11179.00,6104.29,8700.14,5423.91,8290.11,5073.00,7266.00,1247.39,1146.84,42730.00,60901.00,28.00,78.33,83.62,18.98,0.56,0.03
86,20-30 microns from soma center,0.63,116.07,55.04,0.37,0.29,6962.00,10036.00,6213.40,8915.00,5718.45,8464.58,5528.00,7568.00,557.96,840.93,31067.00,44575.00,22.00,77.79,83.94,19.36,0.64,0.02
87,20-30 microns from soma center,0.32,109.42,56.81,0.09,0.93,6568.00,8780.00,5854.50,7370.00,5978.20,6726.06,4411.00,6552.00,861.98,875.75,23418.00,29480.00,18.00,83.17,66.62,24.86,0.66,0.01
88,20-30 microns from soma center,0.34,109.48,56.80,0.11,0.51,7184.00,8160.00,4838.33,7245.33,4526.43,6842.63,1827.00,6743.00,1894.37,508.19,29030.00,43472.00,26.00,83.49,66.25,25.01,0.52,0.01
89,20-30 microns from soma center,0.31,109.75,56.05,0.22,0.45,5325.00,9559.00,3610.25,8369.00,3135.26,7875.53,2008.00,7436.00,1209.35,802.82,14441.00,33476.00,18.00,82.73,67.29,25.93,0.65,0.01
90,20-30 microns from soma center,6.52,110.24,56.22,0.44,0.26,13672.00,17907.00,6286.66,10434.50,6285.18,9838.11,1999.00,7314.00,2223.14,2225.56,484073.00,803459.00,226.00,82.78,67.72,26.70,0.47,0.50
91,20-30 microns from soma center,1.33,109.27,55.85,0.46,0.12,16954.00,9418.00,5956.77,8328.08,4632.13,8122.57,2745.00,6867.00,3603.27,715.76,77438.00,108265.00,52.00,83.93,65.17,25.48,0.47,0.05
92,20-30 microns from soma center,0.15,108.92,56.95,0.39,0.47,6272.00,9040.00,5526.33,8310.33,4184.00,7849.00,4184.00,7849.00,951.12,521.94,16579.00,24931.00,14.00,83.02,65.68,25.67,0.73,0.00
93,20-30 microns from soma center,6.67,108.94,57.33,0.18,0.78,14634.00,14895.00,6356.94,9671.89,5764.85,9325.76,2427.00,6748.00,2407.81,1890.86,400487.00,609329.00,220.00,82.62,66.24,25.56,0.39,0.39
94,20-30 microns from soma center,0.46,110.65,54.40,0.22,0.45,8599.00,12695.00,5053.50,10328.30,3294.41,9722.05,2482.00,8321.00,2386.68,1584.86,20214.00,41313.00,18.00,84.30,66.97,25.53,0.74,0.02
95,20-30 microns from soma center,0.31,110.01,54.08,0.47,0.32,5227.00,11227.00,4076.75,9267.25,4188.20,8425.09,2594.00,8263.00,946.17,1178.96,16307.00,37069.00,18.00,83.94,66.27,25.80,0.80,0.01
96,20-30 microns from soma center,0.52,108.60,55.24,0.11,0.44,4992.00,9066.00,4178.80,8089.20,3796.69,7848.66,3192.00,7211.00,663.14,617.45,20894.00,40446.00,22.00,81.19,67.26,26.02,0.60,0.02
97,20-30 microns from soma center,0.47,110.33,55.52,0.17,0.50,7668.00,10225.00,6484.80,8372.00,5583.94,7817.38,4932.00,7233.00,1055.29,1029.93,32424.00,41860.00,22.00,83.31,67.50,26.01,0.68,0.02
98,20-30 microns from soma center,0.43,110.55,55.57,0.13,0.45,3771.00,10865.00,2929.33,9509.33,1376.00,7660.00,1376.00,7660.00,1099.65,1354.20,8788.00,28528.00,14.00,83.58,67.39,26.34,0.66,0.01
99,20-30 microns from soma center,1.61,108.81,55.89,0.36,0.38,9731.00,14149.00,6264.88,10180.90,6239.49,10695.70,2693.00,7188.00,2066.39,2108.70,100238.00,162894.00,56.00,84.41,65.78,19.69,0.61,0.09
100,20-30 microns from soma center,0.25,109.65,55.66,0.39,0.47,8801.00,10074.00,7579.67,8864.33,6394.00,7881.00,6394.00,7881.00,982.98,909.48,22739.00,26593.00,14.00,85.56,65.20,21.25,0.76,0.01
101,20-30 microns from soma center,2.22,110.45,56.47,0.23,0.63,10923.00,15918.00,5653.23,10326.60,4914.56,10024.30,1063.00,7489.00,2330.05,1923.37,124371.00,227186.00,76.00,86.18,65.31,22.50,0.56,0.13
102,20-30 microns from soma center,0.26,109.25,57.60,0.13,0.45,5104.00,8824.00,3851.33,8421.00,2696.00,7801.00,2696.00,7801.00,985.47,444.93,11554.00,25263.00,14.00,85.19,65.04,21.17,0.59,0.01
103,20-30 microns from soma center,3.07,110.13,57.00,0.32,0.48,11247.00,14623.00,5346.33,9822.36,4902.24,9650.50,1636.00,6303.00,2069.60,1921.63,176429.00,324138.00,110.00,86.15,64.72,22.77,0.51,0.18
104,20-30 microns from soma center,0.38,109.04,56.94,0.20,0.48,6246.00,9644.00,4802.50,8913.50,4789.32,9172.92,2056.00,7600.00,1684.27,779.55,19210.00,35654.00,18.00,84.61,64.39,24.18,0.69,0.01
105,20-30 microns from soma center,1.13,110.49,57.22,0.54,0.32,10599.00,15069.00,6958.00,10197.50,6438.79,8873.69,3354.00,7139.00,2183.57,2463.48,76538.00,112173.00,46.00,86.71,64.49,23.04,0.66,0.06
106,20-30 microns from soma center,4.93,109.26,59.60,0.43,0.37,16871.00,24041.00,8962.83,13153.20,8226.67,12699.00,2019.00,9151.00,3289.52,2627.40,421253.00,618200.00,160.00,86.82,61.99,23.62,0.44,0.30
107,20-30 microns from soma center,0.55,109.66,59.70,0.18,0.49,10066.00,14352.00,8580.40,11971.40,7849.20,11294.90,6708.00,10964.00,1238.89,1220.29,42902.00,59857.00,22.00,87.55,61.60,23.81,0.61,0.02
108,20-30 microns from soma center,0.71,109.20,60.19,0.33,0.17,8283.00,14450.00,5133.60,12858.60,4052.65,11878.50,2553.00,11444.00,1891.19,1192.03,25668.00,64293.00,20.00,86.99,61.71,23.44,0.62,0.03
109,20-30 microns from soma center,1.87,109.41,59.80,0.66,0.14,8120.00,14729.00,4413.56,10415.40,4037.97,9628.20,2620.00,7181.00,1436.32,2045.07,79444.00,187478.00,68.00,86.68,62.31,23.98,0.53,0.09
110,20-30 microns from soma center,1.05,109.72,59.29,0.26,0.44,11045.00,16842.00,6685.67,11178.80,6317.81,10161.90,2401.00,8888.00,2170.25,2557.12,80228.00,134145.00,36.00,87.95,61.22,23.56,0.71,0.06
111,20-30 microns from soma center,17.16,108.99,59.28,0.05,0.77,22194.00,37672.00,7644.84,14287.70,6995.38,12612.80,1498.00,8379.00,3184.43,4988.59,1674220.00,3129000.00,528.00,86.20,62.40,23.56,0.37,1.53
112,20-30 microns from soma center,0.26,109.68,59.68,0.13,0.45,6326.00,10115.00,4474.67,9318.00,2667.00,7895.00,2667.00,7895.00,1494.10,1008.63,13424.00,27954.00,14.00,86.53,63.10,23.70,0.66,0.01
113,20-30 microns from soma center,6.55,109.73,59.21,0.12,0.71,20206.00,21192.00,8065.98,12852.10,7234.34,12281.30,2448.00,9186.00,3519.59,2748.68,532355.00,848238.00,208.00,86.33,63.38,23.90,0.43,0.44
