,,Area,Distance from Origin,Distance to Image Border XY,Ellipticity (oblate),Ellipticity (prolate),Intensity Max Ch=1,Intensity Max Ch=2,Intensity Mean Ch=1,Intensity Mean Ch=2,Intensity Median Ch=1,Intensity Median Ch=2,Intensity Min Ch=1,Intensity Min Ch=2,Intensity StdDev Ch=1,Intensity StdDev Ch=2,Intensity Sum Ch=1,Intensity Sum Ch=2,Number of Vertices,Position,,,Sphericity,Volume
26,Puncta >50 from Soma Center,0.59,87.68,19.41,0.34,0.24,13773.00,16801.00,9149.67,12402.50,8606.01,11425.90,4523.00,9403.00,3161.65,2444.27,54898.00,74415.00,26.00,55.58,67.60,5.51,0.65,0.02
27,Puncta 40-50 from Soma Center,1.69,87.39,19.34,0.62,0.23,10076.00,16464.00,4763.81,11186.60,4264.26,9957.26,1059.00,9126.00,2470.07,2171.55,100040.00,234919.00,74.00,55.46,67.25,6.21,0.56,0.09
28,Puncta 40-50 from Soma Center,2.65,90.09,21.41,0.42,0.35,13936.00,18054.00,6253.56,12354.50,5660.55,11460.30,612.00,9308.00,3234.00,2433.00,156339.00,308863.00,98.00,59.66,67.49,1.20,0.37,0.09
29,Puncta 40-50 from Soma Center,0.18,89.96,21.36,0.39,0.47,9133.00,12377.00,4803.00,10960.70,1268.00,9443.00,1268.00,9443.00,3259.71,1199.94,14409.00,32882.00,14.00,58.82,68.05,1.19,0.71,0.00
30,Puncta 40-50 from Soma Center,0.60,89.58,22.36,0.06,0.53,5618.00,14200.00,2583.20,11267.60,1156.67,9672.05,758.00,9002.00,1888.78,2214.42,12916.00,56338.00,22.00,58.82,67.54,2.08,0.62,0.02
31,Puncta 40-50 from Soma Center,0.41,89.41,22.67,0.19,0.50,3370.00,11444.00,1899.00,9569.40,1341.29,8552.87,1160.00,8095.00,785.94,1175.31,9495.00,47847.00,20.00,58.23,67.81,1.99,0.63,0.01
32,Puncta 40-50 from Soma Center,0.30,89.97,20.53,0.20,0.48,7608.00,10182.00,4522.50,9679.25,2220.46,9596.01,1813.00,8780.00,2538.38,568.78,18090.00,38717.00,18.00,58.87,68.01,1.82,0.65,0.01
33,Puncta 40-50 from Soma Center,0.24,89.76,20.86,0.20,0.48,3410.00,9798.00,1455.00,9173.75,620.57,9014.62,565.00,8780.00,1157.39,379.11,5820.00,36695.00,18.00,57.99,68.47,2.74,0.62,0.01
34,Puncta 40-50 from Soma Center,1.98,89.92,25.24,0.46,0.33,13527.00,16094.00,4984.28,11635.80,3249.93,10931.30,1937.00,8792.00,2931.43,2172.11,89717.00,209445.00,68.00,58.44,68.30,2.43,0.44,0.08
35,Puncta 40-50 from Soma Center,0.37,89.27,25.59,0.13,0.45,5599.00,21370.00,3959.33,14219.70,1644.00,9597.00,1644.00,9597.00,1683.83,5127.88,11878.00,42659.00,14.00,57.65,68.10,2.96,0.68,0.01
36,Puncta 40-50 from Soma Center,0.78,89.47,21.88,0.06,0.51,10562.00,14149.00,4911.25,10896.90,4024.52,10590.30,1707.00,9404.00,2696.26,1415.67,39290.00,87175.00,32.00,57.81,68.20,3.32,0.53,0.02
37,Puncta 40-50 from Soma Center,0.38,89.02,22.13,0.46,0.24,15441.00,14197.00,6327.80,10599.80,2324.04,9556.37,1332.00,8430.00,4986.31,1945.68,31639.00,52999.00,22.00,57.47,67.90,3.48,0.65,0.01
38,Puncta 40-50 from Soma Center,0.47,89.13,22.55,0.22,0.45,11166.00,16439.00,7081.50,12813.50,6405.36,10938.30,2761.00,10851.00,3022.94,2266.38,28326.00,51254.00,18.00,57.82,67.72,3.93,0.67,0.02
39,Puncta 40-50 from Soma Center,0.80,89.37,21.85,0.12,0.58,9338.00,14947.00,6532.38,11380.90,6469.30,9984.97,2839.00,9173.00,2169.57,1980.84,52259.00,91047.00,34.00,58.03,67.88,3.46,0.57,0.03
40,Puncta 40-50 from Soma Center,0.17,89.32,23.31,0.39,0.47,3440.00,11316.00,2620.33,10233.70,1286.00,8718.00,1286.00,8718.00,951.70,1104.00,7861.00,30701.00,14.00,58.15,67.67,4.09,0.77,0.00
41,Puncta 40-50 from Soma Center,0.37,88.91,23.22,0.22,0.45,12529.00,11397.00,7481.75,10374.00,6590.91,10134.20,2117.00,9351.00,3755.57,742.06,29927.00,41496.00,18.00,57.54,67.62,4.71,0.61,0.01
42,Puncta >50 from Soma Center,0.35,88.64,9.13,0.49,0.25,13971.00,13364.00,8513.80,11270.80,3790.03,10223.80,1677.00,9807.00,4837.74,1313.80,42569.00,56354.00,22.00,53.06,70.83,4.95,0.78,0.01
43,Puncta >50 from Soma Center,0.32,87.33,9.43,0.34,0.18,7637.00,14612.00,5722.25,10785.80,5221.33,9029.93,3188.00,8873.00,1699.81,2310.27,22889.00,43143.00,18.00,52.05,69.93,5.22,0.69,0.01
44,Puncta >50 from Soma Center,1.08,87.39,9.09,0.40,0.45,18341.00,14486.00,8591.67,10820.20,8813.69,10668.50,1165.00,8837.00,4080.53,1568.47,103100.00,129842.00,46.00,52.47,69.67,5.58,0.50,0.04
45,Puncta >50 from Soma Center,0.38,87.73,10.12,0.13,0.45,7387.00,14073.00,4859.00,12488.00,2957.00,10884.00,2957.00,10884.00,1861.92,1301.97,14577.00,37464.00,14.00,53.08,69.63,5.47,0.63,0.01
46,Puncta >50 from Soma Center,2.31,88.18,9.37,0.36,0.53,16078.00,15755.00,9249.26,11418.20,8428.51,10749.30,3444.00,8714.00,3510.52,1989.21,212733.00,262619.00,88.00,56.42,67.52,5.74,0.44,0.10
47,Puncta >50 from Soma Center,0.40,88.18,9.87,0.13,0.45,7665.00,13506.00,5295.00,11725.00,3750.00,10087.00,3750.00,10087.00,1701.43,1399.46,15885.00,35175.00,14.00,56.18,67.73,5.76,0.62,0.01
48,Puncta >50 from Soma Center,0.49,86.43,9.97,0.22,0.45,3930.00,19377.00,2646.00,13075.80,2663.88,11513.10,1036.00,9881.00,1041.15,3699.24,10584.00,52303.00,18.00,51.86,68.90,5.86,0.67,0.02
49,Puncta >50 from Soma Center,0.55,86.56,10.92,0.50,0.18,9731.00,12580.00,3275.83,10733.00,1619.84,10267.00,1115.00,8735.00,2991.48,1490.54,19655.00,64398.00,26.00,52.12,68.85,6.06,0.62,0.02
50,Puncta >50 from Soma Center,0.13,86.75,10.17,0.39,0.47,10503.00,10672.00,8998.33,9969.67,7707.00,8829.00,7707.00,8829.00,1151.39,813.74,26995.00,29909.00,14.00,51.94,69.26,5.56,0.80,0.00
51,Puncta >50 from Soma Center,0.29,87.07,10.56,0.09,0.93,10503.00,11590.00,6084.50,9951.75,5403.47,9322.05,2913.00,9021.00,2755.18,993.80,24338.00,39807.00,18.00,51.98,69.60,5.95,0.64,0.01
52,Puncta >50 from Soma Center,0.42,86.03,10.78,0.18,0.49,19408.00,12668.00,10946.60,11191.00,7597.38,10303.40,6810.00,10103.00,4485.02,1160.66,54733.00,55955.00,22.00,51.94,68.30,6.32,0.62,0.01
53,Puncta >50 from Soma Center,0.45,86.52,10.14,0.33,0.48,11432.00,12526.00,7233.17,10862.30,7576.13,10407.00,3341.00,9800.00,2998.83,976.00,43399.00,65174.00,24.00,52.12,68.73,6.73,0.70,0.02
54,Puncta >50 from Soma Center,2.17,86.79,9.86,0.30,0.61,12111.00,14522.00,6232.21,10548.40,5812.26,9654.85,1289.00,8444.00,2764.35,1845.21,149573.00,253161.00,92.00,52.40,68.90,6.32,0.44,0.09
55,Puncta >50 from Soma Center,0.23,84.31,10.55,0.13,0.45,8166.00,12905.00,3864.00,10907.00,1601.00,9252.00,1601.00,9252.00,3043.35,1510.92,11592.00,32721.00,14.00,50.44,67.14,7.43,0.60,0.00
56,Puncta >50 from Soma Center,1.23,80.69,11.27,0.18,0.55,6437.00,14059.00,3827.20,11327.70,4490.04,11644.20,708.00,8227.00,2102.31,1772.93,38272.00,113277.00,42.00,49.69,62.49,11.68,0.55,0.05
57,Puncta >50 from Soma Center,0.41,81.16,12.42,0.22,0.39,8207.00,12214.00,5423.00,10239.80,4229.50,9603.77,1843.00,8329.00,2192.90,1313.62,27115.00,51199.00,22.00,50.12,62.77,11.60,0.63,0.01
58,Puncta >50 from Soma Center,0.54,79.96,10.68,0.63,0.20,12221.00,16518.00,5282.00,11540.90,3912.48,9540.63,1639.00,9257.00,3329.75,2434.15,36974.00,80786.00,28.00,48.92,62.13,11.89,0.75,0.02
59,Puncta >50 from Soma Center,0.23,85.08,13.49,0.13,0.45,10223.00,11140.00,5827.67,10002.70,709.00,9135.00,709.00,9135.00,3917.61,840.45,17483.00,30008.00,14.00,53.40,65.87,6.91,0.69,0.01
60,Puncta >50 from Soma Center,0.34,85.93,13.70,0.20,0.48,10744.00,13431.00,5951.50,10556.00,4239.46,9296.79,3718.00,8685.00,2809.37,1829.77,23806.00,42224.00,18.00,54.02,66.47,6.92,0.60,0.01
61,Puncta >50 from Soma Center,2.48,84.65,13.14,0.67,0.19,13243.00,18907.00,4898.81,12466.00,4126.69,11434.00,628.00,8453.00,3251.73,3025.66,132268.00,336583.00,98.00,51.25,67.01,6.99,0.51,0.13
62,Puncta >50 from Soma Center,0.22,84.71,13.44,0.02,0.99,8474.00,11152.00,6521.67,10313.30,3191.00,9189.00,3191.00,9189.00,2366.77,826.46,19565.00,30940.00,14.00,52.34,66.18,7.43,0.48,0.00
63,Puncta >50 from Soma Center,0.38,84.46,14.21,0.22,0.39,7943.00,18688.00,5595.60,10863.40,4367.57,8638.38,2113.00,8057.00,2182.85,3974.21,27978.00,54317.00,22.00,51.92,66.28,6.73,0.66,0.01
64,Puncta >50 from Soma Center,0.60,84.48,14.36,0.26,0.60,8881.00,11383.00,3955.71,9697.57,3088.12,9531.32,908.00,7948.00,2480.68,1088.98,27690.00,67883.00,30.00,51.67,66.47,7.05,0.61,0.02
65,Puncta 30-40 from Soma Center,0.43,84.55,36.33,0.25,0.50,8996.00,16730.00,5593.25,12439.00,4886.51,11359.20,3459.00,9606.00,2058.24,2632.64,22373.00,49756.00,18.00,51.46,66.70,7.28,0.67,0.01
66,Puncta 30-40 from Soma Center,0.12,85.94,39.95,0.39,0.47,7226.00,11079.00,5545.00,10073.00,2282.00,9281.00,2282.00,9281.00,2307.64,749.47,16635.00,30219.00,14.00,53.63,66.75,7.31,0.84,0.00
67,Puncta 30-40 from Soma Center,0.22,84.41,40.91,0.14,0.58,13627.00,10078.00,6569.00,9411.60,2018.87,9169.27,873.00,8885.00,4636.83,422.20,32845.00,47058.00,22.00,52.49,65.61,8.06,0.57,0.00
68,Puncta 30-40 from Soma Center,0.80,84.33,42.17,0.59,0.17,8773.00,21182.00,4049.71,14868.90,2191.25,14002.50,1251.00,12303.00,2541.42,2769.09,28348.00,104082.00,28.00,53.07,65.00,8.32,0.72,0.04
69,Puncta 30-40 from Soma Center,0.19,84.62,42.18,0.39,0.47,4657.00,12958.00,3450.33,11011.70,2632.00,8925.00,2632.00,8925.00,871.11,1649.45,10351.00,33035.00,14.00,53.17,65.24,8.79,0.79,0.01
70,Puncta 30-40 from Soma Center,0.19,84.81,43.12,0.13,0.45,7997.00,11360.00,5572.33,10211.30,4254.00,8684.00,4254.00,8684.00,1716.68,1124.81,16717.00,30634.00,14.00,53.39,65.25,9.20,0.68,0.00
71,Puncta 30-40 from Soma Center,0.44,85.69,43.10,0.46,0.25,8178.00,13159.00,4424.83,11833.20,3319.67,11884.20,947.00,10219.00,2460.16,984.84,26549.00,70999.00,24.00,54.27,65.75,8.64,0.84,0.02
72,Puncta 20-30 from Soma Center,0.75,86.03,44.02,0.42,0.39,8272.00,12335.00,5840.78,11175.10,6103.89,10952.20,2239.00,9503.00,1864.26,1012.99,52567.00,100576.00,38.00,54.76,65.86,8.10,0.59,0.03
73,Puncta 30-40 from Soma Center,0.32,85.52,40.81,0.18,0.31,5239.00,9999.00,3247.75,9308.00,2612.69,9489.38,1237.00,8236.00,1485.67,651.79,12991.00,37232.00,16.00,53.61,65.95,9.47,0.66,0.01
74,Puncta 20-30 from Soma Center,1.01,85.61,48.30,0.54,0.10,9516.00,20404.00,5032.67,13525.60,3574.45,11842.40,1834.00,9967.00,2597.59,3465.71,45294.00,121730.00,38.00,53.28,66.53,7.99,0.52,0.04
75,Puncta 30-40 from Soma Center,0.51,85.90,40.72,0.35,0.45,11474.00,14155.00,5097.00,11381.20,2544.31,10202.80,2474.00,9886.00,3444.90,1599.96,25485.00,56906.00,22.00,53.35,66.80,8.45,0.73,0.02
76,Puncta 30-40 from Soma Center,2.36,78.21,40.76,0.41,0.47,15151.00,28368.00,7278.88,12999.10,7144.00,12708.30,1394.00,8522.00,3441.36,4100.56,174693.00,311979.00,78.00,53.18,56.64,8.96,0.60,0.16
77,Puncta 20-30 from Soma Center,0.40,83.75,48.50,0.22,0.45,11293.00,13996.00,7036.75,11285.80,6074.53,10387.60,1682.00,9283.00,3597.88,1746.17,28147.00,45143.00,18.00,54.16,63.23,9.13,0.64,0.01
78,Puncta 20-30 from Soma Center,0.20,84.72,48.78,0.39,0.47,5053.00,10790.00,2885.00,10197.00,649.00,9453.00,649.00,9453.00,1798.57,556.17,8655.00,30591.00,14.00,54.85,63.88,9.34,0.76,0.01
79,Puncta 20-30 from Soma Center,0.37,83.56,49.90,0.20,0.48,13868.00,14606.00,10561.50,11779.00,9773.55,10808.90,6381.00,10779.00,2814.19,1632.92,42246.00,47116.00,18.00,52.65,64.25,9.04,0.68,0.01
80,Puncta 20-30 from Soma Center,0.17,84.10,49.61,0.37,0.29,13774.00,10063.00,7516.40,9390.00,5500.02,8984.51,3236.00,8546.00,3583.76,564.27,37582.00,46950.00,22.00,53.06,64.62,9.07,0.54,0.00
81,Puncta 20-30 from Soma Center,0.39,85.90,50.44,0.47,0.32,9429.00,15217.00,5356.25,12178.00,4352.20,10761.70,2288.00,9837.00,2597.98,2070.99,21425.00,48712.00,18.00,54.91,65.41,9.28,0.77,0.02
82,Puncta 30-40 from Soma Center,0.34,85.60,39.85,0.22,0.61,3545.00,17880.00,2695.00,11324.50,2328.59,8150.82,2011.00,7714.00,583.78,4063.21,10780.00,45298.00,18.00,54.73,65.17,9.25,0.78,0.01
83,Puncta 30-40 from Soma Center,0.53,85.66,40.06,0.70,0.14,7549.00,14438.00,2506.00,10639.60,796.17,8972.76,743.00,8164.00,2594.60,2289.52,12530.00,53198.00,22.00,54.57,65.30,9.78,0.71,0.02
84,Puncta 30-40 from Soma Center,0.76,84.95,40.58,0.42,0.24,8553.00,12720.00,3745.20,10001.70,2773.46,8533.70,1192.00,7978.00,2116.41,1819.06,37452.00,100017.00,38.00,53.04,65.75,8.93,0.69,0.04
85,Puncta 30-40 from Soma Center,0.42,84.54,40.75,0.21,0.16,8617.00,9827.00,5737.33,8923.50,5913.54,8963.46,662.00,8000.00,2793.62,606.96,34424.00,53541.00,24.00,52.64,65.61,8.40,0.50,0.01
86,Puncta 30-40 from Soma Center,0.80,85.04,40.35,0.27,0.48,9356.00,18938.00,4980.13,13167.30,4055.67,10074.40,1182.00,7815.00,2744.83,3980.23,39841.00,105338.00,30.00,53.43,65.58,8.71,0.78,0.05
87,Puncta 30-40 from Soma Center,0.47,79.00,39.82,0.03,0.89,9096.00,10956.00,5022.80,9042.40,2939.70,8094.54,2332.00,7891.00,2805.92,1149.92,25114.00,45212.00,22.00,53.17,57.63,9.58,0.55,0.01
88,Puncta 30-40 from Soma Center,0.79,80.81,39.53,0.34,0.57,12498.00,15459.00,7344.33,10722.00,6768.48,9018.13,2654.00,8065.00,3180.26,2474.43,66099.00,96498.00,36.00,52.64,60.47,10.11,0.61,0.03
89,Puncta 30-40 from Soma Center,0.20,81.13,39.88,0.12,0.93,5084.00,9638.00,2985.33,9068.67,1265.00,8694.00,1265.00,8694.00,1581.89,409.23,8956.00,27206.00,14.00,52.88,60.67,10.23,0.59,0.00
90,Puncta 30-40 from Soma Center,2.41,83.31,39.40,0.58,0.28,20785.00,19405.00,10575.20,11351.80,8722.12,10038.00,1363.00,8147.00,5413.59,3036.23,285530.00,306498.00,96.00,54.74,62.01,9.99,0.51,0.13
91,Puncta 30-40 from Soma Center,0.25,83.74,39.33,0.25,0.50,8291.00,14313.00,5099.50,10020.30,2626.99,8284.47,2014.00,8237.00,2802.66,2510.70,20398.00,40081.00,18.00,55.10,62.20,10.41,0.72,0.01
92,Puncta 30-40 from Soma Center,1.14,84.18,38.85,0.35,0.50,10628.00,16173.00,5647.77,10913.80,4675.73,9588.24,1717.00,7990.00,2579.70,2371.54,73421.00,141880.00,48.00,55.20,62.74,10.14,0.67,0.06
93,Puncta 30-40 from Soma Center,0.46,84.10,39.27,0.11,0.44,5403.00,10225.00,3572.00,9344.80,2557.24,8448.55,2405.00,8298.00,1245.82,811.20,17860.00,46724.00,22.00,54.63,63.16,9.90,0.55,0.01
94,Puncta 30-40 from Soma Center,2.45,84.04,38.61,0.40,0.25,13055.00,24017.00,5498.96,12631.00,5648.92,11376.80,499.00,8825.00,3119.72,3600.68,126476.00,290513.00,86.00,54.34,63.32,10.01,0.47,0.12
95,Puncta 30-40 from Soma Center,1.37,84.07,38.18,0.54,0.16,8288.00,18607.00,4572.33,10780.20,4157.30,9475.52,1143.00,8077.00,1870.62,2896.61,68585.00,161703.00,54.00,53.52,64.15,9.38,0.57,0.06
96,Puncta 30-40 from Soma Center,0.93,83.89,38.60,0.30,0.29,7492.00,20832.00,3903.00,12352.50,2876.38,11791.20,1584.00,8840.00,1928.63,3145.16,39030.00,123525.00,36.00,53.49,63.87,9.84,0.69,0.05
97,Puncta 30-40 from Soma Center,0.81,85.91,37.37,0.06,0.57,4592.00,14049.00,3039.83,11845.50,2437.10,10830.10,1901.00,9712.00,1003.97,1749.29,18239.00,71073.00,26.00,54.94,65.25,10.20,0.59,0.03
98,Puncta 30-40 from Soma Center,2.23,85.38,37.69,0.40,0.43,9708.00,19948.00,4013.63,12257.40,3130.86,11224.40,704.00,8669.00,2475.56,2840.78,108368.00,330949.00,80.00,54.10,65.31,9.85,0.63,0.16
99,Puncta 30-40 from Soma Center,2.45,79.90,37.23,0.34,0.36,6300.00,22679.00,2403.41,12595.40,1835.91,10978.20,698.00,8278.00,1568.84,4232.44,81716.00,428243.00,86.00,53.47,58.52,10.05,0.67,0.20
100,Puncta 30-40 from Soma Center,1.11,79.66,36.84,0.24,0.38,13077.00,21255.00,6334.22,12939.20,3997.97,11174.10,2883.00,9139.00,3557.72,3285.85,57008.00,116453.00,36.00,52.89,58.76,9.75,0.62,0.05
101,Puncta 30-40 from Soma Center,1.38,79.94,37.02,0.23,0.23,7984.00,17287.00,4557.30,13157.60,3995.13,13561.70,2182.00,9596.00,1933.91,2216.76,45573.00,131576.00,42.00,52.98,58.99,10.20,0.52,0.06
102,Puncta 30-40 from Soma Center,3.61,79.92,36.53,0.38,0.32,12853.00,30382.00,4231.25,13921.50,3964.66,12382.50,685.00,9245.00,2550.49,4921.77,186175.00,612546.00,122.00,52.84,59.07,10.32,0.57,0.28
103,Puncta 30-40 from Soma Center,0.60,80.49,35.47,0.41,0.42,4947.00,11075.00,3017.50,9889.50,2819.00,9821.94,691.00,9119.00,1467.68,652.07,18105.00,59337.00,26.00,53.41,59.34,10.24,0.59,0.02
104,Puncta 30-40 from Soma Center,0.89,80.95,36.18,0.13,0.59,6549.00,15599.00,3793.25,12182.40,3594.27,11356.70,593.00,9017.00,1789.25,2426.05,30346.00,97459.00,32.00,53.76,59.62,10.42,0.67,0.04
105,Puncta 40-50 from Soma Center,1.17,81.89,34.32,0.18,0.52,5518.00,19682.00,2424.00,10428.90,1952.10,9152.00,688.00,8450.00,1353.25,2870.64,31512.00,135576.00,50.00,53.95,60.70,10.53,0.57,0.05
106,Puncta 30-40 from Soma Center,0.67,81.59,34.68,0.30,0.47,14707.00,12643.00,7505.00,10145.10,5710.58,9080.79,833.00,8590.00,4523.61,1519.18,52535.00,71016.00,28.00,53.48,60.67,10.76,0.69,0.03
107,Puncta >50 from Soma Center,0.52,82.90,10.93,0.46,0.21,6805.00,13988.00,4280.80,11070.60,3220.68,10182.10,1439.00,8605.00,1871.05,1879.03,21404.00,55353.00,22.00,52.98,62.92,10.35,0.67,0.02
108,Puncta >50 from Soma Center,0.57,80.66,11.25,0.49,0.22,9036.00,13025.00,5351.29,9810.71,4455.92,9337.81,661.00,8057.00,2809.94,1510.84,37459.00,68675.00,28.00,52.91,59.91,10.79,0.66,0.02
109,Puncta >50 from Soma Center,0.74,80.78,12.12,0.36,0.54,8018.00,18414.00,5723.29,11896.10,5043.25,9115.48,2802.00,8698.00,1749.20,3335.73,40063.00,83273.00,30.00,53.13,59.81,11.22,0.58,0.03
110,Puncta >50 from Soma Center,0.49,81.43,12.78,0.46,0.24,12035.00,14351.00,9194.40,11227.80,7566.59,10033.90,7083.00,9668.00,1955.39,1679.83,45972.00,56139.00,22.00,53.35,60.67,10.20,0.57,0.01
