,,Area,Distance from Origin,Distance to Image Border XY,Ellipticity (oblate),Ellipticity (prolate),Intensity Max Ch=1,Intensity Max Ch=2,Intensity Mean Ch=1,Intensity Mean Ch=2,Intensity Median Ch=1,Intensity Median Ch=2,Intensity Min Ch=1,Intensity Min Ch=2,Intensity StdDev Ch=1,Intensity StdDev Ch=2,Intensity Sum Ch=1,Intensity Sum Ch=2,Number of Vertices,Position,,,Sphericity,Volume
50,> 50 microns from soma center,0.38,83.33,28.06,0.14,0.00,5949.00,20652.00,4140.00,16692.30,1965.00,14709.00,1965.00,14709.00,1646.92,2799.90,12420.00,50077.00,14.00,57.86,56.73,19.42,0.63,0.01
51,> 50 microns from soma center,2.17,82.28,27.79,0.64,0.23,9437.00,20168.00,3998.96,14091.80,3513.94,13500.80,1621.00,11370.00,1805.97,2094.73,91976.00,324111.00,84.00,55.64,57.46,19.27,0.54,0.12
52,> 50 microns from soma center,3.48,82.78,27.81,0.22,0.71,8662.00,25077.00,3611.25,15689.30,2942.83,14891.10,1485.00,12777.00,1848.35,2479.15,158895.00,690327.00,132.00,55.82,58.16,18.81,0.54,0.24
53,> 50 microns from soma center,0.44,75.15,28.47,0.80,0.13,6483.00,17503.00,5010.75,15215.50,3978.19,14515.90,3555.00,13979.00,1261.91,1357.17,20043.00,60862.00,16.00,51.21,51.60,19.04,0.79,0.02
54,> 50 microns from soma center,2.35,76.12,28.47,0.33,0.58,8503.00,23510.00,4251.41,15535.50,3618.91,14860.00,1439.00,10710.00,1963.11,3416.36,114788.00,419459.00,92.00,51.31,52.62,19.83,0.57,0.15
55,> 50 microns from soma center,0.90,76.28,26.50,0.40,0.44,5622.00,16980.00,2887.30,12385.10,3109.97,11502.20,962.00,10072.00,1442.88,1933.65,28873.00,123851.00,38.00,51.77,52.66,19.09,0.64,0.04
56,> 50 microns from soma center,1.04,79.65,27.63,0.40,0.34,6629.00,18632.00,4399.75,15169.80,4624.72,15277.80,1228.00,12224.00,1657.09,1723.77,52797.00,182037.00,42.00,56.26,53.03,19.16,0.64,0.05
57,> 50 microns from soma center,0.54,81.79,27.41,0.16,0.55,4580.00,15408.00,3003.80,13232.80,2478.91,11936.20,625.00,11577.00,1377.89,1372.94,15019.00,66164.00,22.00,56.77,55.11,20.73,0.60,0.02
58,> 50 microns from soma center,0.98,82.64,27.27,0.43,0.30,6091.00,18208.00,3784.90,14707.40,4256.88,14692.40,1200.00,11825.00,1490.76,1819.31,37849.00,147074.00,40.00,57.11,56.76,18.58,0.64,0.05
59,> 50 microns from soma center,3.40,82.70,26.74,0.40,0.44,6766.00,22488.00,3459.06,15111.40,3169.66,14240.90,1382.00,10560.00,1359.89,2670.88,121067.00,528898.00,126.00,57.47,56.16,19.58,0.49,0.20
60,> 50 microns from soma center,0.70,82.50,27.14,0.34,0.47,6073.00,17474.00,3045.25,14201.80,2689.48,14122.30,1234.00,11866.00,1609.21,1676.51,24362.00,113614.00,32.00,57.01,56.47,19.15,0.61,0.03
61,> 50 microns from soma center,0.28,82.80,27.15,0.13,0.45,3759.00,15481.00,2498.67,13506.00,715.00,12260.00,715.00,12260.00,1296.63,1412.40,7496.00,40518.00,14.00,57.35,56.57,19.18,0.64,0.01
62,> 50 microns from soma center,5.25,82.77,27.72,0.28,0.57,7660.00,31093.00,3776.51,18032.90,3530.63,16732.20,1053.00,11845.00,1633.40,4321.50,287015.00,1370500.00,190.00,56.96,56.87,19.32,0.58,0.50
63,> 50 microns from soma center,0.62,82.06,18.48,0.51,0.24,9493.00,15162.00,5815.14,14257.30,5400.57,13885.80,3574.00,13576.00,1663.91,580.21,40706.00,99801.00,28.00,57.24,55.50,19.44,0.62,0.02
64,> 50 microns from soma center,0.47,80.76,18.92,0.28,0.41,7094.00,17753.00,4596.67,14174.30,4261.38,13488.20,2878.00,12603.00,1279.00,1722.16,27580.00,85046.00,24.00,54.85,56.09,19.18,0.60,0.01
65,> 50 microns from soma center,0.21,80.86,18.83,0.39,0.47,6153.00,15980.00,4891.33,15011.30,3891.00,13814.00,3891.00,13814.00,941.76,898.94,14674.00,45034.00,14.00,54.72,56.21,19.60,0.79,0.01
66,> 50 microns from soma center,3.09,81.33,26.33,0.79,0.14,14764.00,23286.00,5005.88,16851.20,4704.25,15623.60,1351.00,12567.00,2693.36,3118.92,160188.00,539238.00,100.00,55.03,56.45,19.99,0.51,0.19
67,> 50 microns from soma center,0.12,104.97,27.45,0.13,0.45,4002.00,12442.00,3794.00,11988.30,3479.00,11221.00,3479.00,11221.00,226.52,545.60,11382.00,35965.00,14.00,83.11,62.22,15.54,0.40,0.00
68,> 50 microns from soma center,8.08,104.92,26.23,0.49,0.33,13200.00,25958.00,4095.60,17121.70,3600.32,16490.60,1094.00,12342.00,2054.97,3091.18,434134.00,1814900.00,296.00,82.81,62.51,15.55,0.46,0.67
69,> 50 microns from soma center,0.97,100.83,17.99,0.49,0.26,6735.00,19338.00,3831.13,16065.30,3482.93,15197.50,2084.00,13930.00,1340.63,1818.34,30649.00,128522.00,34.00,76.87,63.30,15.84,0.54,0.04
70,> 50 microns from soma center,0.64,105.65,18.45,0.32,0.35,7048.00,17909.00,3937.17,16014.20,2771.44,15110.90,1574.00,14037.00,2201.10,1469.75,23623.00,96085.00,24.00,82.96,63.51,15.67,0.68,0.03
71,> 50 microns from soma center,0.42,103.62,17.75,0.42,0.26,4607.00,15981.00,4293.00,13850.20,4061.97,12906.80,3751.00,12729.00,333.33,1266.44,21465.00,69251.00,22.00,80.32,63.66,15.32,0.58,0.01
72,> 50 microns from soma center,0.59,103.97,17.88,0.42,0.26,8406.00,17098.00,6131.80,14979.20,5496.75,14003.50,3234.00,13698.00,1867.33,1235.24,30659.00,74896.00,22.00,80.72,63.56,15.91,0.65,0.02
73,> 50 microns from soma center,0.18,103.75,18.34,0.20,0.48,6932.00,12318.00,4480.50,11649.00,4452.86,11453.10,2050.00,11134.00,1726.08,433.73,17922.00,46596.00,18.00,80.21,63.67,16.63,0.61,0.00
74,> 50 microns from soma center,2.63,104.54,25.29,0.49,0.37,7351.00,17824.00,3120.56,14034.40,2400.74,13421.90,1345.00,10646.00,1447.37,2005.60,106099.00,477169.00,104.00,81.48,63.60,15.67,0.61,0.19
75,> 50 microns from soma center,2.20,104.87,25.79,0.51,0.32,7384.00,29020.00,3698.61,16123.50,3670.34,14535.40,1088.00,12685.00,1449.09,3525.87,85068.00,370840.00,82.00,81.40,64.09,16.27,0.53,0.12
76,> 50 microns from soma center,5.50,105.31,17.25,0.30,0.40,9008.00,23968.00,4547.24,16115.00,4040.81,15147.70,1783.00,11211.00,1551.07,3121.61,304665.00,1079710.00,204.00,81.94,64.21,15.93,0.47,0.39
77,> 50 microns from soma center,1.02,105.76,18.32,0.38,0.23,9144.00,22517.00,5785.57,17047.00,3889.04,16079.30,3295.00,15504.00,2287.45,2254.70,40499.00,119329.00,28.00,82.33,64.40,16.12,0.60,0.04
78,> 50 microns from soma center,1.88,104.11,19.00,0.49,0.30,8964.00,22828.00,4945.10,14672.30,4577.72,13660.70,2828.00,11810.00,1489.66,2424.15,103847.00,308118.00,76.00,81.56,62.66,16.11,0.50,0.09
79,> 50 microns from soma center,2.00,103.72,25.17,0.33,0.58,7766.00,26118.00,3676.04,16991.30,3478.06,15758.60,990.00,12656.00,1574.03,3710.20,88225.00,407791.00,72.00,81.16,62.54,16.14,0.65,0.14
80,> 50 microns from soma center,1.00,103.53,22.53,0.30,0.62,7041.00,18283.00,4255.30,14287.00,3691.79,13461.60,2304.00,12349.00,1567.69,1909.15,42553.00,142870.00,36.00,80.85,62.61,16.15,0.68,0.05
81,> 50 microns from soma center,0.40,100.39,19.50,0.80,0.13,7320.00,18562.00,5302.75,15617.00,3771.90,13872.90,2974.00,13410.00,1950.81,2094.20,21211.00,62468.00,16.00,76.76,62.65,16.16,0.80,0.02
82,> 50 microns from soma center,0.80,101.89,23.51,0.49,0.33,6972.00,18547.00,3625.75,16285.00,2683.85,15296.00,663.00,13680.00,2052.09,1857.27,29006.00,130280.00,32.00,78.52,62.89,16.18,0.75,0.04
83,> 50 microns from soma center,3.55,101.94,24.60,0.32,0.44,7430.00,26309.00,3432.50,17425.20,3195.23,17034.00,1570.00,11831.00,1308.69,3673.15,123570.00,627307.00,112.00,78.61,62.77,16.50,0.52,0.24
84,> 50 microns from soma center,2.75,102.30,18.41,0.18,0.35,8735.00,20428.00,4651.42,14903.40,4126.57,13930.80,2217.00,11765.00,1949.27,2322.78,111634.00,357682.00,92.00,78.61,63.17,17.20,0.43,0.12
85,> 50 microns from soma center,0.26,102.68,19.78,0.12,0.93,3094.00,15106.00,2299.67,14098.30,1842.00,13285.00,1842.00,13285.00,563.85,756.02,6899.00,42295.00,14.00,78.94,63.32,17.35,0.68,0.01
86,> 50 microns from soma center,6.78,100.52,23.68,0.46,0.40,10224.00,26586.00,4169.87,17865.80,4088.73,16931.60,647.00,12701.00,2008.93,3429.23,404477.00,1732980.00,246.00,75.89,63.92,16.10,0.49,0.57
87,> 50 microns from soma center,0.40,106.83,23.56,0.04,0.53,5645.00,16985.00,3713.25,15837.00,2894.30,16399.60,2339.00,13041.00,1260.30,1629.92,14853.00,63348.00,18.00,83.50,64.67,16.09,0.56,0.01
88,> 50 microns from soma center,4.56,107.12,23.14,0.60,0.23,9554.00,30677.00,4108.39,16882.30,3483.69,16057.30,1154.00,11385.00,1921.83,4167.55,221853.00,911643.00,166.00,83.75,64.70,16.62,0.47,0.30
89,> 50 microns from soma center,0.67,99.99,19.20,0.09,0.64,9663.00,15216.00,6421.50,14063.30,6111.46,14694.10,2504.00,12035.00,2196.60,1279.76,38529.00,84380.00,24.00,76.24,62.52,16.62,0.58,0.02
90,> 50 microns from soma center,0.57,102.69,20.01,0.19,0.73,6596.00,16071.00,5662.17,14344.50,5652.88,13751.30,3578.00,12472.00,1069.71,1330.03,33973.00,86067.00,26.00,79.72,62.60,16.44,0.65,0.02
91,> 50 microns from soma center,0.61,99.69,18.76,0.32,0.34,10741.00,15121.00,4598.56,13464.00,2819.07,13087.30,2326.00,12618.00,2610.13,716.86,41387.00,121176.00,38.00,75.48,63.09,16.09,0.50,0.02
92,> 50 microns from soma center,0.43,99.29,18.89,0.22,0.45,6867.00,18011.00,5272.00,14689.30,4611.92,13470.80,3530.00,13435.00,1288.05,1923.75,21088.00,58757.00,18.00,74.78,63.15,16.69,0.67,0.01
93,> 50 microns from soma center,6.23,99.31,22.53,0.42,0.45,7081.00,27327.00,3974.11,17032.10,3990.22,16191.80,1041.00,12557.00,1315.61,3006.21,278188.00,1192250.00,226.00,74.39,63.38,17.62,0.43,0.41
94,> 50 microns from soma center,0.58,101.24,22.67,0.17,0.50,3851.00,24391.00,2940.20,17422.40,2593.03,14603.90,1911.00,14369.00,741.83,3749.94,14701.00,87112.00,22.00,76.67,63.99,16.64,0.61,0.02
95,> 50 microns from soma center,0.24,102.72,19.94,0.13,0.45,13056.00,16447.00,6659.67,14047.00,2123.00,12452.00,2123.00,12452.00,4653.06,1727.43,19979.00,42141.00,14.00,78.62,64.01,16.47,0.66,0.01
96,> 50 microns from soma center,0.30,102.82,20.16,0.39,0.47,5408.00,18232.00,4595.33,15244.00,3856.00,12696.00,3856.00,12696.00,635.72,2281.38,13786.00,45732.00,14.00,79.14,63.64,16.06,0.74,0.01
97,> 50 microns from soma center,0.61,103.46,19.02,0.34,0.39,7205.00,17774.00,4968.33,14812.50,4715.46,14190.90,1358.00,13070.00,1909.62,1519.74,29810.00,88875.00,26.00,79.68,63.91,16.44,0.63,0.02
98,> 50 microns from soma center,1.76,103.21,18.62,0.62,0.19,4611.00,20697.00,2865.72,14030.20,2598.56,13210.90,1058.00,11018.00,984.64,2579.10,51583.00,252544.00,68.00,79.51,63.56,17.09,0.52,0.08
99,> 50 microns from soma center,1.16,106.85,19.24,0.37,0.40,6118.00,16253.00,3874.46,12621.70,3488.55,12045.50,1803.00,10462.00,1319.35,1516.35,50368.00,164082.00,52.00,83.82,64.13,16.65,0.51,0.04
100,> 50 microns from soma center,3.48,101.24,19.37,0.37,0.49,11342.00,20297.00,4994.73,14964.80,4331.84,14134.00,1372.00,11860.00,2059.83,2179.95,149842.00,448944.00,114.00,77.40,63.07,16.75,0.38,0.15
101,> 50 microns from soma center,0.75,100.43,19.38,0.39,0.48,5205.00,16283.00,3736.67,13679.20,3729.31,13047.70,1832.00,11806.00,945.02,1465.79,33630.00,123113.00,38.00,75.38,64.20,16.82,0.52,0.02
102,> 50 microns from soma center,0.74,100.66,19.34,0.31,0.45,6775.00,17495.00,5262.86,14145.90,4717.38,13576.30,3117.00,12215.00,1245.20,1659.87,36840.00,99021.00,30.00,75.70,64.18,16.82,0.60,0.03
103,> 50 microns from soma center,1.48,102.34,20.15,0.32,0.49,6466.00,17808.00,3820.44,13881.70,3926.88,13107.40,1138.00,11573.00,1621.98,1930.32,61127.00,222107.00,60.00,78.26,63.62,17.37,0.45,0.05
104,> 50 microns from soma center,0.81,99.98,20.39,0.14,0.60,5062.00,17228.00,2777.83,14698.80,2268.71,13781.90,675.00,12727.00,1407.88,1729.23,16667.00,88193.00,26.00,74.75,64.11,17.23,0.60,0.03
105,> 50 microns from soma center,0.22,99.50,22.69,0.13,0.45,5197.00,16202.00,3876.67,14406.00,3007.00,13490.00,3007.00,13490.00,949.16,1270.05,11630.00,43218.00,14.00,74.12,64.15,17.04,0.52,0.00
106,> 50 microns from soma center,1.62,101.56,22.27,0.68,0.18,7740.00,20360.00,3775.41,16517.00,3176.82,15738.40,1286.00,14133.00,1752.05,1962.14,64182.00,280789.00,60.00,77.33,63.72,16.56,0.55,0.08
107,> 50 microns from soma center,0.25,101.50,23.91,0.13,0.45,5097.00,17181.00,3688.00,14971.00,2851.00,13857.00,2851.00,13857.00,1002.17,1562.72,11064.00,44913.00,14.00,77.00,63.75,17.53,0.61,0.01
108,> 50 microns from soma center,0.24,94.95,18.66,0.25,0.50,6214.00,15320.00,5003.00,13490.50,4027.56,13004.70,3822.00,11496.00,1083.22,1411.60,20012.00,53962.00,18.00,50.12,79.42,14.01,0.77,0.01
109,> 50 microns from soma center,0.35,94.25,18.80,0.13,0.45,5388.00,19991.00,3015.67,15956.30,737.00,10974.00,737.00,10974.00,1899.92,3741.67,9047.00,47869.00,14.00,52.69,77.01,13.29,0.68,0.01
110,> 50 microns from soma center,0.29,94.15,18.15,0.22,0.61,4747.00,14878.00,3477.75,13302.80,2568.98,12223.40,1973.00,12213.00,1224.55,1135.56,13911.00,53211.00,18.00,52.73,76.79,13.68,0.68,0.01
111,> 50 microns from soma center,0.57,94.04,18.83,0.52,0.00,4189.00,17792.00,3218.20,14133.20,2653.34,12934.10,2308.00,12385.00,678.40,1905.20,16091.00,70666.00,22.00,50.99,77.82,13.70,0.64,0.02
112,> 50 microns from soma center,4.16,94.24,19.24,0.25,0.67,8885.00,25439.00,3617.33,15026.20,3079.66,14135.30,808.00,11254.00,1768.86,2982.32,166397.00,691203.00,152.00,51.07,78.08,13.29,0.46,0.25
113,> 50 microns from soma center,1.93,94.28,19.49,0.31,0.55,6873.00,18177.00,3915.00,14908.30,3777.87,14339.40,634.00,12075.00,1804.11,1863.33,70470.00,268349.00,62.00,50.81,78.21,13.80,0.49,0.09
