,,Area,Distance from Origin,Distance to Image Border XY,Ellipticity (oblate),Ellipticity (prolate),Intensity Max Ch=1,Intensity Max Ch=2,Intensity Mean Ch=1,Intensity Mean Ch=2,Intensity Median Ch=1,Intensity Median Ch=2,Intensity Min Ch=1,Intensity Min Ch=2,Intensity StdDev Ch=1,Intensity StdDev Ch=2,Intensity Sum Ch=1,Intensity Sum Ch=2,Number of Vertices,Position,,,Sphericity,Volume
31,Puncta 30-40 from Soma Center,0.51,155.71,90.09,0.44,0.36,10392.00,6363.00,7759.50,5293.25,6934.02,4744.15,6475.00,4629.00,1543.28,689.64,31038.00,21173.00,18.00,116.08,101.44,21.90,0.80,0.02
32,Puncta 20-30 from Soma Center,0.36,150.10,91.46,0.39,0.47,22160.00,5680.00,11043.00,4974.00,2849.00,4454.00,2849.00,4454.00,8150.12,517.50,33129.00,14922.00,14.00,113.56,95.60,22.23,0.82,0.02
33,Puncta 20-30 from Soma Center,0.77,155.14,91.34,0.29,0.66,25353.00,8639.00,16492.00,5928.20,8762.63,5364.79,8632.00,4296.00,6928.36,1447.48,82460.00,29641.00,20.00,115.74,100.93,22.06,0.78,0.04
34,Puncta 40-50 from Soma Center,0.78,155.74,84.32,0.80,0.10,3723.00,6688.00,2425.00,6306.25,1902.93,6413.75,1120.00,5591.00,990.13,424.16,9700.00,25225.00,18.00,115.88,101.40,23.31,0.74,0.04
35,Puncta 30-40 from Soma Center,0.74,156.50,84.37,0.21,0.66,11577.00,6805.00,7367.60,5686.00,6301.84,5204.48,4116.00,4816.00,2459.01,680.96,36838.00,28430.00,22.00,116.60,101.64,23.79,0.69,0.03
36,Puncta 30-40 from Soma Center,4.03,170.33,84.34,0.27,0.67,24176.00,26291.00,13025.40,11176.00,11936.80,8180.26,4835.00,5685.00,5227.39,5529.47,377736.00,324105.00,76.00,118.48,120.83,19.44,0.78,0.53
37,Puncta 30-40 from Soma Center,1.93,173.79,85.20,0.13,0.87,35701.00,12913.00,11780.30,7341.56,6940.38,6131.06,5023.00,4566.00,8911.35,2378.66,106023.00,66074.00,36.00,126.13,116.70,25.99,0.69,0.15
38,Puncta 30-40 from Soma Center,0.16,172.75,85.55,0.39,0.47,9621.00,4965.00,8295.00,4650.67,7086.00,4432.00,7086.00,4432.00,1038.21,227.87,24885.00,13952.00,14.00,124.24,117.22,25.80,0.75,0.00
39,Puncta 30-40 from Soma Center,0.20,172.84,85.92,0.31,0.00,17306.00,4880.00,13755.30,4738.33,10982.00,4659.00,10982.00,4659.00,2639.63,100.41,41266.00,14215.00,14.00,124.51,116.97,26.22,0.57,0.00
40,Puncta >50 from Soma Center,0.43,174.14,60.90,0.44,0.36,17058.00,5380.00,12861.50,5198.75,10739.00,5077.66,9534.00,5020.00,2940.45,152.78,51446.00,20795.00,18.00,125.35,118.04,26.08,0.74,0.02
41,Puncta >50 from Soma Center,0.24,155.02,61.11,0.31,0.00,7944.00,5346.00,5578.33,5005.33,3711.00,4643.00,3711.00,4643.00,1763.67,287.40,16735.00,15016.00,14.00,101.94,113.38,28.00,0.63,0.01
42,Puncta >50 from Soma Center,0.41,156.03,57.61,0.22,0.61,21577.00,5354.00,15703.50,4827.75,15481.00,4565.68,10186.00,4424.00,4031.34,363.27,62814.00,19311.00,18.00,103.84,113.36,26.72,0.66,0.01
43,Puncta >50 from Soma Center,0.25,156.43,58.02,0.39,0.47,17161.00,5615.00,11474.70,4844.67,5639.00,4315.00,5639.00,4315.00,4705.02,557.34,34424.00,14534.00,14.00,103.82,113.82,27.12,0.78,0.01
44,Puncta 40-50 from Soma Center,0.18,165.43,84.19,0.31,0.00,12915.00,4839.00,9674.33,4448.00,7197.00,4126.00,7197.00,4126.00,2395.95,295.14,29023.00,13344.00,14.00,109.94,120.63,27.01,0.55,0.00
45,Puncta 40-50 from Soma Center,0.90,156.62,83.72,0.15,0.50,7389.00,9369.00,3082.20,6693.00,1985.42,5535.42,833.00,5175.00,2278.23,1501.44,15411.00,33465.00,22.00,104.39,113.45,27.56,0.73,0.05
46,Puncta 40-50 from Soma Center,0.48,155.88,83.69,0.31,0.00,9513.00,6750.00,6524.33,6248.33,2468.00,5485.00,2468.00,5485.00,2973.54,548.58,19573.00,18745.00,14.00,103.64,112.95,28.28,0.74,0.02
47,Puncta 40-50 from Soma Center,2.04,165.79,83.04,0.58,0.26,6784.00,9380.00,3880.78,6711.33,3179.34,5903.89,1225.00,5241.00,1673.00,1335.22,34927.00,60402.00,38.00,109.11,121.57,28.31,0.59,0.12
48,Puncta 40-50 from Soma Center,1.03,166.07,83.02,0.60,0.20,10757.00,7384.00,5710.50,5721.00,4161.69,5248.54,707.00,4623.00,3292.37,946.96,34263.00,34326.00,26.00,107.83,123.03,28.59,0.63,0.05
49,Puncta 40-50 from Soma Center,0.49,167.53,82.77,0.22,0.61,18891.00,6260.00,14366.00,5311.25,10023.80,4851.52,9883.00,4846.00,4411.05,575.28,57464.00,21245.00,18.00,105.71,126.80,28.51,0.73,0.02
50,Puncta 40-50 from Soma Center,3.94,165.19,82.36,0.29,0.63,23093.00,24082.00,11875.10,10578.70,12046.80,8686.42,2749.00,5403.00,5010.67,5100.35,320627.00,285625.00,72.00,107.89,121.55,29.56,0.79,0.51
51,Puncta 40-50 from Soma Center,0.79,165.26,83.81,0.38,0.44,18251.00,6364.00,14712.80,5589.80,13427.60,5156.87,9676.00,5049.00,2942.11,552.94,73564.00,27949.00,20.00,106.75,122.75,29.12,0.66,0.03
52,Puncta 40-50 from Soma Center,2.34,167.19,79.44,0.28,0.66,22997.00,12030.00,11339.40,7193.31,10201.10,6617.09,4062.00,4775.00,4755.92,2018.65,147412.00,93513.00,44.00,108.41,123.38,31.24,0.75,0.22
53,Puncta 30-40 from Soma Center,0.47,172.21,84.01,0.35,0.46,8662.00,6380.00,6963.75,5048.75,6671.41,4395.50,4915.00,4364.00,1375.49,815.78,27855.00,20195.00,18.00,123.80,116.83,26.10,0.77,0.02
54,Puncta 40-50 from Soma Center,0.75,172.63,83.07,0.25,0.50,15725.00,6449.00,10418.80,5586.50,10361.30,5584.25,4377.00,4678.00,4039.95,626.80,41675.00,22346.00,18.00,123.93,117.25,26.33,0.72,0.04
55,Puncta 40-50 from Soma Center,0.40,172.18,75.10,0.28,0.43,7606.00,5351.00,4024.33,4995.00,2071.00,4410.00,2071.00,4410.00,2536.09,416.89,12073.00,14985.00,14.00,122.35,118.27,26.23,0.70,0.01
56,Puncta 40-50 from Soma Center,0.81,173.88,74.63,0.41,0.33,9514.00,7980.00,4777.00,5687.60,3121.48,4813.68,2609.00,4471.00,2494.11,1281.23,23885.00,28438.00,22.00,124.44,118.45,26.81,0.72,0.04
57,Puncta 30-40 from Soma Center,1.06,176.63,83.59,0.52,0.18,7437.00,6635.00,3527.50,5766.67,2746.78,5788.72,1311.00,4511.00,2010.61,699.66,21165.00,34600.00,26.00,128.57,117.89,27.74,0.75,0.07
58,Puncta 40-50 from Soma Center,0.29,176.47,73.39,0.28,0.43,10684.00,5564.00,6078.00,4981.00,1185.00,4644.00,1185.00,4644.00,3883.26,413.92,18234.00,14943.00,14.00,128.80,117.29,28.20,0.69,0.01
59,Puncta 40-50 from Soma Center,0.37,170.66,67.46,0.12,0.93,6485.00,5483.00,5227.33,5286.33,3054.00,4913.00,3054.00,4913.00,1543.11,264.11,15682.00,15859.00,14.00,106.44,133.34,3.93,0.55,0.01
60,Puncta 40-50 from Soma Center,0.58,169.38,67.67,0.10,0.52,9142.00,6501.00,6923.00,5590.75,6406.44,5328.58,5094.00,4756.00,1462.02,637.90,27692.00,22363.00,18.00,106.21,131.90,3.06,0.62,0.02
61,Puncta 30-40 from Soma Center,1.93,173.06,77.26,0.58,0.18,21754.00,9393.00,10932.70,6461.64,7901.73,5137.34,3844.00,4551.00,5632.11,1853.65,120260.00,71078.00,46.00,110.27,133.28,5.14,0.62,0.12
62,Puncta 40-50 from Soma Center,1.77,172.17,74.26,0.42,0.36,24275.00,8813.00,12123.00,5878.36,10799.40,5424.50,4101.00,4797.00,5844.35,1078.81,133353.00,64662.00,42.00,108.74,133.38,5.18,0.65,0.12
63,Puncta 40-50 from Soma Center,0.12,133.17,66.87,0.39,0.47,15213.00,4472.00,11696.00,4400.33,9379.00,4342.00,9379.00,4342.00,2528.36,53.90,35088.00,13201.00,14.00,92.89,94.68,11.85,0.75,0.00
64,Puncta 30-40 from Soma Center,0.37,133.29,81.27,0.31,0.00,19094.00,6849.00,11735.00,5477.33,7014.00,4641.00,7014.00,4641.00,5272.63,977.67,35205.00,16432.00,14.00,92.96,94.71,12.47,0.75,0.01
65,Puncta 30-40 from Soma Center,0.51,173.94,81.02,0.28,0.43,25294.00,6477.00,16104.30,5617.00,8231.00,5069.00,8231.00,5069.00,7027.85,615.70,48313.00,16851.00,14.00,112.22,132.70,7.18,0.74,0.02
66,Puncta >50 from Soma Center,0.65,173.74,71.34,0.10,0.52,17009.00,6968.00,12158.30,5265.25,9663.80,4584.91,9635.00,4327.00,3000.58,1030.72,48633.00,21061.00,18.00,112.56,132.10,7.94,0.64,0.03
67,Puncta 40-50 from Soma Center,0.64,174.33,82.33,0.35,0.46,27459.00,6913.00,24702.00,5364.75,23082.60,4866.80,21654.00,4564.00,2401.52,914.41,98808.00,21459.00,18.00,112.95,132.56,7.84,0.76,0.03
68,Puncta >50 from Soma Center,0.36,182.62,74.93,0.28,0.43,8125.00,5233.00,5012.00,4836.33,3270.00,4629.00,3270.00,4629.00,2206.43,280.58,15036.00,14509.00,14.00,121.23,136.33,8.21,0.72,0.01
69,Puncta 40-50 from Soma Center,1.14,180.93,81.57,0.76,0.15,28085.00,8058.00,15305.90,5559.86,12259.60,4816.13,8029.00,4353.00,7069.39,1157.41,107141.00,38919.00,30.00,118.13,136.79,8.35,0.74,0.07
70,Puncta >50 from Soma Center,0.48,175.55,63.28,0.19,0.39,3556.00,4877.00,2633.25,4653.25,2845.79,4493.77,921.00,4483.00,1019.68,169.60,10533.00,18613.00,18.00,115.65,131.73,9.40,0.62,0.02
71,Puncta >50 from Soma Center,4.33,175.00,68.46,0.24,0.74,13251.00,28109.00,7014.32,13242.90,6650.77,10687.30,1911.00,5584.00,2619.85,6473.57,196401.00,370802.00,74.00,114.98,131.57,9.58,0.80,0.61
72,Puncta >50 from Soma Center,3.35,175.42,67.01,0.22,0.70,18058.00,18439.00,7583.77,9077.36,6656.22,7112.59,1186.00,5199.00,3876.96,3783.71,166843.00,199702.00,72.00,116.68,130.60,10.01,0.73,0.36
73,Puncta >50 from Soma Center,0.98,179.15,66.44,0.49,0.28,13290.00,8120.00,9537.67,6233.67,8847.80,5914.33,7176.00,4677.00,1971.47,1214.24,57226.00,37402.00,26.00,118.52,133.97,10.06,0.75,0.06
74,Puncta >50 from Soma Center,3.10,179.44,45.69,0.69,0.15,5129.00,11976.00,2417.47,6865.41,1910.06,6149.52,626.00,4700.00,1252.07,1809.05,41097.00,116712.00,64.00,118.34,134.53,9.77,0.58,0.23
75,Puncta >50 from Soma Center,4.17,175.49,53.52,0.26,0.66,20998.00,18782.00,11105.10,8852.13,10374.50,7295.46,2242.00,5105.00,4609.87,3776.23,355362.00,283268.00,88.00,117.76,129.65,10.83,0.76,0.53
76,Puncta >50 from Soma Center,2.44,175.46,51.11,0.62,0.20,21896.00,14157.00,11224.10,8771.27,9184.80,7389.93,4859.00,5087.00,4505.21,2718.03,123465.00,96484.00,42.00,117.91,129.43,11.39,0.71,0.22
77,Puncta >50 from Soma Center,0.34,176.34,49.02,0.39,0.47,10706.00,6696.00,7572.33,5383.67,4733.00,4606.00,4733.00,4606.00,2447.33,933.25,22717.00,16151.00,14.00,117.23,131.24,11.41,0.85,0.01
78,Puncta >50 from Soma Center,0.36,135.37,47.69,0.28,0.43,3970.00,5344.00,3276.67,5087.33,2706.00,4743.00,2706.00,4743.00,523.26,253.06,9830.00,15262.00,14.00,97.44,93.04,13.18,0.72,0.01
79,Puncta >50 from Soma Center,0.57,135.71,44.80,0.35,0.46,13172.00,7410.00,9295.00,5892.75,7297.34,4749.81,6428.00,4664.00,2652.72,1206.20,37180.00,23571.00,18.00,96.81,94.18,13.27,0.80,0.03
80,Puncta >50 from Soma Center,0.93,134.86,47.72,0.32,0.36,4655.00,7524.00,2666.86,5671.29,1967.47,5056.47,1499.00,4613.00,1049.75,1092.18,18668.00,39699.00,30.00,95.21,94.62,13.08,0.78,0.06
81,Puncta >50 from Soma Center,0.95,134.57,45.05,0.68,0.14,11516.00,8792.00,6579.50,6085.17,5707.15,5314.60,3811.00,4853.00,2487.45,1417.50,39477.00,36511.00,26.00,100.87,87.72,15.52,0.70,0.05
82,Puncta >50 from Soma Center,0.94,136.68,46.65,0.29,0.56,6383.00,7141.00,2779.00,5669.71,1768.71,5093.50,1714.00,4801.00,1577.02,910.32,19453.00,39688.00,30.00,101.08,90.57,16.20,0.72,0.05
83,Puncta >50 from Soma Center,3.36,137.57,45.78,0.20,0.73,14147.00,20530.00,7218.65,8811.57,6611.27,7126.52,2014.00,4862.00,3158.72,3875.74,166029.00,202666.00,68.00,102.78,89.94,16.53,0.77,0.39
84,Puncta >50 from Soma Center,0.51,144.08,50.33,0.35,0.46,3630.00,4981.00,2582.00,4834.25,2514.00,4784.83,1326.00,4657.00,829.35,123.97,10328.00,19337.00,18.00,109.76,91.32,19.26,0.73,0.02
85,Puncta >50 from Soma Center,0.80,176.38,49.13,0.41,0.28,8429.00,7875.00,5067.25,6131.00,4145.32,5438.67,2016.00,5400.00,2335.48,1018.91,20269.00,24524.00,16.00,118.07,130.35,13.28,0.74,0.04
86,Puncta >50 from Soma Center,1.69,176.03,49.87,0.26,0.44,18182.00,7498.00,9664.50,6068.00,7995.59,5526.75,4162.00,4842.00,4374.06,902.93,77316.00,48544.00,34.00,117.11,130.74,13.25,0.61,0.10
87,Puncta >50 from Soma Center,5.70,144.60,50.49,0.26,0.54,14171.00,31487.00,7679.93,12308.00,7830.08,9618.83,2057.00,4955.00,2657.89,6874.29,322557.00,516935.00,112.00,110.25,91.45,19.79,0.72,0.78
88,Puncta 40-50 from Soma Center,0.19,144.87,71.88,0.39,0.47,16547.00,4994.00,8536.33,4564.00,4069.00,4342.00,4069.00,4342.00,5676.94,304.11,25609.00,13692.00,14.00,110.23,91.92,19.68,0.75,0.01
89,Puncta 40-50 from Soma Center,2.19,146.11,74.28,0.36,0.52,28872.00,8686.00,17679.70,6612.43,16937.10,6476.06,7203.00,4964.00,5921.88,1212.50,247516.00,92574.00,50.00,112.10,91.20,21.58,0.74,0.19
90,Puncta 40-50 from Soma Center,0.32,146.91,72.80,0.39,0.47,7429.00,6498.00,4809.33,5379.67,1823.00,4707.00,1823.00,4707.00,2303.28,796.19,14428.00,16139.00,14.00,112.85,91.90,19.97,0.84,0.01
91,Puncta 40-50 from Soma Center,0.50,167.45,79.13,0.22,0.61,13056.00,5770.00,8433.50,5104.50,7010.40,5002.27,5989.00,4502.00,2734.98,451.90,33734.00,20418.00,18.00,103.88,127.95,29.63,0.76,0.02
92,Puncta 40-50 from Soma Center,3.59,169.43,76.40,0.26,0.65,31456.00,21373.00,17140.70,9842.22,17438.50,7823.21,6185.00,5388.00,7248.59,4128.30,394237.00,226371.00,70.00,101.23,132.66,29.31,0.77,0.43
93,Puncta 40-50 from Soma Center,0.35,143.98,76.51,0.39,0.47,5322.00,6294.00,4407.33,5579.33,3861.00,5165.00,3861.00,5165.00,650.84,507.48,13222.00,16738.00,14.00,88.94,106.78,37.67,0.84,0.02
94,Puncta 30-40 from Soma Center,3.65,171.21,80.65,0.55,0.30,31772.00,10888.00,16536.70,7322.95,14102.40,6816.63,6918.00,4966.00,6695.47,1817.10,347271.00,153782.00,76.00,109.13,126.25,38.28,0.63,0.33
95,Puncta 30-40 from Soma Center,0.86,181.65,82.58,0.46,0.27,21531.00,6251.00,15637.70,5497.17,14952.10,5432.27,7612.00,4533.00,4750.78,679.93,93826.00,32983.00,26.00,135.66,116.08,33.41,0.58,0.03
96,Puncta 30-40 from Soma Center,0.20,183.67,85.71,0.28,0.43,7707.00,4531.00,5569.00,4282.67,4210.00,4084.00,4210.00,4084.00,1530.23,185.84,16707.00,12848.00,14.00,136.64,117.86,34.28,0.58,0.00
97,Puncta 30-40 from Soma Center,1.61,169.57,85.68,0.58,0.28,26936.00,10470.00,15855.40,7192.00,13304.90,6346.36,9575.00,5218.00,5454.19,1880.66,126843.00,57536.00,30.00,105.81,126.19,40.44,0.59,0.09
98,Puncta 30-40 from Soma Center,4.24,174.20,86.87,0.16,0.54,30085.00,15112.00,17018.80,7644.63,15990.70,6641.34,2330.00,5026.00,7606.71,2571.85,408451.00,183471.00,76.00,111.20,127.11,42.73,0.65,0.43
99,Puncta 30-40 from Soma Center,2.79,174.49,85.60,0.35,0.49,41259.00,8680.00,28055.20,6522.47,28036.10,6220.31,12813.00,4976.00,7807.83,1008.52,476939.00,110882.00,60.00,112.18,125.90,44.86,0.70,0.26
100,Puncta 30-40 from Soma Center,0.63,173.87,86.94,0.28,0.43,21677.00,6911.00,16800.00,6472.67,13445.00,6050.00,13445.00,6050.00,3528.82,351.68,50400.00,19418.00,14.00,116.08,118.94,51.07,0.76,0.03
101,Puncta 20-30 from Soma Center,1.27,127.63,92.66,0.54,0.25,24634.00,8269.00,17307.40,6183.43,16096.50,4905.66,8201.00,4373.00,5764.43,1434.03,121152.00,43284.00,28.00,94.83,85.41,1.35,0.73,0.08
102,Puncta 30-40 from Soma Center,0.39,129.36,91.19,0.28,0.43,8213.00,6362.00,5786.00,5443.00,3231.00,4391.00,3231.00,4391.00,2035.91,810.14,17358.00,16329.00,14.00,95.69,87.00,2.70,0.74,0.01
103,Puncta 30-40 from Soma Center,0.44,128.49,84.35,0.39,0.47,11432.00,6258.00,9513.33,5591.67,6359.00,4781.00,6359.00,4781.00,2247.81,611.56,28540.00,16775.00,14.00,94.78,86.71,2.78,0.77,0.02
104,Puncta 30-40 from Soma Center,0.50,129.87,85.96,0.22,0.61,29415.00,7887.00,22967.80,5843.25,21614.20,5188.70,15450.00,5056.00,5142.24,1181.86,91871.00,23373.00,18.00,95.66,87.71,4.88,0.81,0.02
105,Puncta 20-30 from Soma Center,0.72,126.74,92.72,0.39,0.47,25561.00,7874.00,19174.70,7089.00,15605.00,6004.00,15605.00,6004.00,4526.27,792.35,57524.00,21267.00,14.00,92.77,86.13,6.13,0.85,0.04
106,Puncta 30-40 from Soma Center,2.28,169.34,87.12,0.32,0.17,27351.00,15399.00,18636.40,9376.22,16119.10,8563.74,6665.00,4921.00,6266.72,2941.48,167728.00,84386.00,36.00,102.86,134.52,0.68,0.70,0.19
107,Puncta 30-40 from Soma Center,0.39,169.16,85.42,0.04,0.98,3180.00,6261.00,2363.33,5418.00,1093.00,4440.00,1093.00,4440.00,910.40,749.52,7090.00,16254.00,14.00,104.73,132.82,2.24,0.62,0.01
108,Puncta 30-40 from Soma Center,0.21,169.82,88.59,0.28,0.43,21191.00,4892.00,18446.00,4552.33,15926.00,4233.00,15926.00,4233.00,2155.31,269.42,55338.00,13657.00,14.00,103.89,134.31,2.34,0.58,0.00
109,Puncta 30-40 from Soma Center,0.29,170.61,87.70,0.39,0.47,13298.00,5624.00,9992.00,5399.67,6756.00,5149.00,6756.00,5149.00,2671.22,194.82,29976.00,16199.00,14.00,104.71,134.67,2.99,0.82,0.01
