,,Area,Distance from Origin,Distance to Image Border XY,Ellipticity (oblate),Ellipticity (prolate),Intensity Max Ch=1,Intensity Max Ch=2,Intensity Mean Ch=1,Intensity Mean Ch=2,Intensity Median Ch=1,Intensity Median Ch=2,Intensity Min Ch=1,Intensity Min Ch=2,Intensity StdDev Ch=1,Intensity StdDev Ch=2,Intensity Sum Ch=1,Intensity Sum Ch=2,Number of Vertices,Position,,,Sphericity,Volume
13,> 50 microns from soma center,0.47,120.81,12.30,0.46,0.21,3744.00,6683.00,2463.40,5858.40,1879.50,5395.53,1032.00,5106.00,930.07,568.53,12317.00,29292.00,22.00,80.15,88.81,16.87,0.63,0.02
14,30-40 microns from soma center,2.17,121.42,41.94,0.18,0.69,5613.00,10775.00,2666.64,7270.82,2064.00,6904.47,621.00,6079.00,1487.85,1112.84,58666.00,159958.00,80.00,79.60,90.09,17.09,0.53,0.12
15,30-40 microns from soma center,1.75,124.34,42.61,0.12,0.49,7964.00,11774.00,3385.56,7731.56,2697.48,7492.27,1050.00,5616.00,1812.72,1808.71,60940.00,139168.00,66.00,84.32,89.60,17.93,0.53,0.08
16,30-40 microns from soma center,0.24,124.14,43.00,0.14,0.00,4043.00,7246.00,2570.67,6465.00,1364.00,5980.00,1364.00,5980.00,1109.71,557.61,7712.00,19395.00,14.00,84.02,89.61,17.89,0.65,0.01
17,30-40 microns from soma center,0.67,120.20,43.09,0.34,0.24,4928.00,9257.00,2705.67,7425.00,2278.29,6781.00,1773.00,6336.00,1071.39,1026.41,16234.00,44550.00,26.00,79.88,88.00,18.01,0.63,0.03
18,30-40 microns from soma center,2.97,120.91,45.40,0.09,0.73,7848.00,12256.00,3368.03,7970.60,2926.02,7202.78,1251.00,6154.00,1427.29,1484.73,101041.00,239118.00,106.00,80.59,88.18,18.69,0.46,0.15
19,30-40 microns from soma center,0.33,122.17,44.79,0.13,0.45,4167.00,9446.00,2923.33,8073.00,1221.00,6275.00,1221.00,6275.00,1245.66,1328.98,8770.00,24219.00,14.00,83.22,87.48,18.60,0.65,0.01
20,30-40 microns from soma center,2.57,119.94,44.36,0.23,0.63,7555.00,14210.00,3662.74,9079.48,3243.88,8445.31,1491.00,6642.00,1516.34,2105.51,113545.00,281464.00,86.00,80.10,87.24,18.94,0.60,0.18
21,30-40 microns from soma center,2.12,121.18,44.27,0.22,0.42,5345.00,14427.00,2768.17,8748.22,2614.91,7941.06,777.00,6125.00,1232.99,1928.22,49827.00,157468.00,70.00,81.13,88.00,18.98,0.48,0.10
22,30-40 microns from soma center,0.17,121.38,45.10,0.39,0.47,4174.00,7043.00,2389.00,6677.33,768.00,6239.00,768.00,6239.00,1395.32,332.22,7167.00,20032.00,14.00,81.36,88.10,18.76,0.73,0.00
23,30-40 microns from soma center,0.20,123.12,45.17,0.39,0.47,2616.00,6983.00,2391.67,6839.67,2052.00,6748.00,2052.00,6748.00,244.27,102.68,7175.00,20519.00,14.00,83.75,88.25,18.90,0.73,0.01
24,20-30 microns from soma center,2.47,120.22,44.85,0.19,0.74,4841.00,11651.00,2433.27,7501.15,2347.68,7151.31,723.00,5620.00,1069.86,1433.13,80298.00,247538.00,94.00,81.33,86.35,19.55,0.63,0.18
25,30-40 microns from soma center,0.09,120.54,44.87,0.13,0.45,4938.00,6883.00,3748.00,6702.67,2625.00,6518.00,2625.00,6518.00,945.47,149.04,11244.00,20108.00,14.00,81.62,86.38,20.12,0.38,0.00
26,30-40 microns from soma center,0.39,125.55,44.69,0.46,0.21,5301.00,9066.00,3437.60,7442.60,2612.40,6611.97,2039.00,6470.00,1124.03,993.98,17188.00,37213.00,22.00,87.91,88.08,16.61,0.62,0.01
27,30-40 microns from soma center,0.20,125.24,34.00,0.39,0.47,3060.00,7693.00,2171.00,6291.67,1559.00,5276.00,1559.00,5276.00,643.32,1023.73,6513.00,18875.00,14.00,86.79,88.59,17.38,0.83,0.01
28,30-40 microns from soma center,0.09,124.69,38.10,0.39,0.47,3257.00,6366.00,1998.33,5611.67,1236.00,5186.00,1236.00,5186.00,896.61,534.86,5995.00,16835.00,14.00,86.48,88.08,17.60,0.75,0.00
29,40-50 microns from soma center,2.98,125.31,28.19,0.22,0.69,4523.00,12360.00,2757.45,7598.65,2774.75,6932.26,527.00,5867.00,1104.90,1644.75,85481.00,235558.00,116.00,87.38,88.10,17.49,0.41,0.13
30,30-40 microns from soma center,5.76,125.32,29.42,0.22,0.58,6913.00,24219.00,3281.89,9554.36,3069.16,8458.30,685.00,6126.00,1389.89,3197.68,265833.00,773903.00,210.00,87.21,88.24,17.74,0.54,0.52
31,30-40 microns from soma center,0.34,125.90,30.43,0.39,0.47,5622.00,12926.00,3446.00,9733.67,2154.00,6677.00,2154.00,6677.00,1547.65,2552.95,10338.00,29201.00,14.00,85.36,90.68,18.46,0.73,0.01
32,30-40 microns from soma center,0.72,124.59,30.39,0.13,0.28,2558.00,9375.00,1678.00,7863.33,1419.60,7146.87,628.00,6357.00,697.01,1281.39,10068.00,47180.00,26.00,86.81,87.52,18.06,0.59,0.03
33,40-50 microns from soma center,0.17,124.20,26.81,0.13,0.45,2820.00,6143.00,2341.33,5676.67,1444.00,5243.00,1444.00,5243.00,634.98,368.15,7024.00,17030.00,14.00,85.87,87.88,18.16,0.53,0.00
34,40-50 microns from soma center,0.83,125.19,25.34,0.48,0.33,5796.00,9961.00,4016.14,7683.29,3402.47,6839.09,3264.00,6471.00,810.72,1276.75,28113.00,53783.00,30.00,84.86,90.23,18.17,0.68,0.04
35,40-50 microns from soma center,0.37,123.81,25.58,0.20,0.48,3871.00,7346.00,2809.00,6476.25,2114.55,6122.07,1645.00,5492.00,947.63,718.88,11236.00,25905.00,18.00,85.04,88.00,18.75,0.68,0.01
36,40-50 microns from soma center,3.74,124.48,27.41,0.64,0.20,9955.00,12450.00,3843.76,8265.85,3343.22,8009.96,756.00,6100.00,2158.09,1470.78,157594.00,338900.00,138.00,84.74,89.27,18.57,0.48,0.23
37,40-50 microns from soma center,0.24,124.47,27.44,0.13,0.45,6256.00,7884.00,5709.33,7297.67,4948.00,6414.00,4948.00,6414.00,555.14,635.89,17128.00,21893.00,14.00,85.33,88.61,18.98,0.56,0.00
38,40-50 microns from soma center,2.08,123.39,20.87,0.34,0.49,6092.00,13732.00,2405.96,7931.77,1863.29,7174.52,937.00,5503.00,1292.18,2191.70,62555.00,206226.00,78.00,84.44,87.86,19.36,0.65,0.15
39,40-50 microns from soma center,2.53,124.41,19.99,0.15,0.75,5291.00,9721.00,2715.19,6913.68,2125.28,6392.98,660.00,5165.00,1437.15,1129.39,84171.00,214324.00,102.00,84.62,89.14,19.32,0.55,0.16
40,30-40 microns from soma center,1.09,93.11,29.11,0.23,0.49,3994.00,9728.00,2139.08,7124.00,2123.73,6732.89,692.00,5875.00,977.66,1157.04,25669.00,85488.00,44.00,66.50,59.93,25.61,0.63,0.05
41,40-50 microns from soma center,0.25,94.01,28.36,0.39,0.47,9317.00,8910.00,6335.00,7816.67,4420.00,7147.00,4420.00,7147.00,2136.82,779.60,19005.00,23450.00,14.00,67.93,59.87,25.31,0.78,0.01
42,40-50 microns from soma center,0.32,94.44,21.80,0.20,0.48,3407.00,6753.00,2026.25,6254.75,1911.64,6437.50,785.00,5336.00,930.12,543.56,8105.00,25019.00,18.00,68.51,59.79,25.51,0.72,0.01
43,40-50 microns from soma center,0.66,94.48,22.02,0.60,0.17,3178.00,7574.00,2511.50,6536.67,2414.13,6085.13,1626.00,5649.00,504.58,782.24,15069.00,39220.00,26.00,67.54,60.63,26.23,0.59,0.02
44,40-50 microns from soma center,2.55,94.93,21.84,0.60,0.14,6435.00,10449.00,3409.11,7033.04,3249.84,6527.13,1035.00,5429.00,1328.79,1473.05,92046.00,189892.00,96.00,67.91,60.53,27.14,0.49,0.13
45,40-50 microns from soma center,0.15,97.08,23.75,0.14,0.00,5116.00,6617.00,4101.00,5874.00,3587.00,5324.00,3587.00,5324.00,717.73,545.22,12303.00,17622.00,14.00,69.61,62.46,26.04,0.56,0.00
46,40-50 microns from soma center,0.44,98.70,22.68,0.25,0.50,5219.00,7305.00,2930.75,6849.00,1269.49,6798.89,644.00,6243.00,1991.91,392.49,11723.00,27396.00,18.00,71.18,63.31,25.83,0.59,0.01
47,40-50 microns from soma center,0.45,99.91,28.46,0.09,0.93,8118.00,9596.00,5606.00,8014.25,3923.09,7453.23,3509.00,7158.00,1941.85,945.55,22424.00,32057.00,18.00,71.61,64.55,26.24,0.66,0.02
48,30-40 microns from soma center,0.23,100.55,28.92,0.20,0.48,4499.00,8817.00,3091.50,7501.25,2749.86,6937.72,2304.00,6829.00,835.92,790.74,12366.00,30005.00,18.00,72.04,64.64,27.22,0.63,0.01
49,40-50 microns from soma center,0.61,100.44,24.85,0.24,0.56,5651.00,9822.00,2885.57,6592.14,2499.41,5970.20,1218.00,5626.00,1325.69,1374.44,20199.00,46145.00,28.00,71.68,64.74,27.53,0.62,0.02
50,40-50 microns from soma center,0.82,99.32,23.88,0.23,0.18,3302.00,11750.00,1674.43,8078.57,1299.68,6492.49,700.00,6071.00,767.19,1968.63,11721.00,56550.00,30.00,70.02,65.38,26.19,0.58,0.03
51,40-50 microns from soma center,0.56,99.51,23.75,0.11,0.64,2532.00,8003.00,1725.50,6652.33,1517.98,6522.51,754.00,5706.00,723.92,790.71,10353.00,39914.00,26.00,69.92,65.52,26.86,0.68,0.02
52,30-40 microns from soma center,5.28,117.69,28.82,0.20,0.82,11479.00,37407.00,4366.37,13232.00,4189.46,10711.80,566.00,6484.00,2022.31,6020.55,379874.00,1151190.00,188.00,79.61,84.12,20.89,0.65,0.60
53,40-50 microns from soma center,0.66,117.93,24.10,0.64,0.14,3982.00,9564.00,2113.86,6670.29,1615.52,6150.03,1348.00,5480.00,884.50,1260.93,14797.00,46692.00,30.00,81.12,82.84,21.59,0.60,0.02
54,40-50 microns from soma center,0.70,117.39,24.45,0.50,0.35,6141.00,9636.00,3871.25,7268.88,3840.94,7268.06,1065.00,5484.00,1415.92,1197.83,30970.00,58151.00,32.00,79.19,83.72,22.36,0.68,0.03
55,40-50 microns from soma center,1.28,116.16,22.81,0.35,0.29,6936.00,12046.00,2603.69,7629.62,2021.16,6595.24,645.00,5732.00,1716.75,2070.33,33848.00,99185.00,50.00,87.99,72.94,20.75,0.67,0.08
56,30-40 microns from soma center,0.06,116.25,30.90,0.39,0.47,6162.00,5812.00,5319.00,5701.33,4789.00,5556.00,4789.00,5556.00,602.64,107.34,15957.00,17104.00,14.00,88.47,72.63,20.32,0.79,0.00
57,40-50 microns from soma center,5.98,116.08,25.66,0.14,0.79,7742.00,28634.00,2755.53,10626.00,2412.30,9141.69,709.00,5532.00,1428.89,4245.31,223198.00,860710.00,200.00,88.15,72.55,20.99,0.54,0.54
58,40-50 microns from soma center,0.22,116.14,26.62,0.13,0.45,2955.00,7791.00,1876.33,6539.33,818.00,5816.00,818.00,5816.00,872.54,888.63,5629.00,19618.00,14.00,88.21,72.68,20.64,0.62,0.00
59,40-50 microns from soma center,0.13,115.93,26.00,0.39,0.47,1872.00,7446.00,1558.00,6972.00,1170.00,6622.00,1170.00,6622.00,291.33,347.64,4674.00,20916.00,14.00,88.00,72.34,21.51,0.79,0.00
60,30-40 microns from soma center,0.24,116.27,31.51,0.13,0.45,6175.00,7319.00,3244.00,6824.00,676.00,6070.00,676.00,6070.00,2259.58,541.79,9732.00,20472.00,14.00,88.17,72.72,21.40,0.67,0.01
61,40-50 microns from soma center,0.35,116.98,23.73,0.34,0.18,2555.00,7223.00,1696.75,6316.25,1518.81,5813.99,700.00,5392.00,682.22,741.42,6787.00,25265.00,18.00,88.44,73.35,21.98,0.58,0.01
62,40-50 microns from soma center,1.34,116.96,23.45,0.23,0.61,5406.00,10885.00,3006.44,7706.19,2785.61,7032.95,1460.00,5250.00,968.08,1675.97,48103.00,123299.00,52.00,88.99,72.42,22.69,0.71,0.09
63,40-50 microns from soma center,1.49,115.27,25.87,0.35,0.46,5841.00,11578.00,2935.63,7807.06,2632.25,7584.47,707.00,6140.00,1215.14,1351.92,46970.00,124913.00,60.00,86.89,72.22,22.80,0.61,0.08
64,40-50 microns from soma center,1.05,115.08,25.51,0.13,0.58,4364.00,12698.00,3207.63,8411.00,3227.38,7249.70,900.00,5960.00,1058.52,2128.04,25661.00,67288.00,32.00,86.57,72.35,22.66,0.64,0.05
65,40-50 microns from soma center,2.16,118.04,24.54,0.21,0.30,4716.00,11880.00,2405.45,7803.50,2273.30,7536.87,733.00,5378.00,1043.93,2033.93,48109.00,156070.00,78.00,90.20,72.69,22.66,0.49,0.10
66,30-40 microns from soma center,0.71,118.09,32.01,0.22,0.58,7851.00,7608.00,3993.33,6505.00,3220.65,6118.50,1302.00,5622.00,1944.79,705.20,35940.00,58545.00,36.00,89.95,72.92,23.19,0.49,0.02
67,30-40 microns from soma center,0.47,118.69,31.85,0.04,0.00,2678.00,6997.00,2005.50,6895.50,1854.63,6862.63,1204.00,6808.00,546.68,69.57,8022.00,27582.00,18.00,91.36,72.01,23.58,0.54,0.01
68,30-40 microns from soma center,0.41,118.46,32.92,0.42,0.26,2774.00,8311.00,1979.00,6520.20,1338.30,5839.00,1327.00,5839.00,574.78,922.77,9895.00,32601.00,22.00,91.12,72.02,23.31,0.63,0.01
69,30-40 microns from soma center,0.65,119.25,33.20,0.24,0.75,5093.00,12029.00,3254.50,8393.00,2840.98,7116.66,2399.00,6069.00,866.79,2149.33,19527.00,50358.00,26.00,91.60,72.56,23.79,0.77,0.03
70,> 50 microns from soma center,4.38,119.39,13.52,0.17,0.68,9506.00,12098.00,4737.37,8653.19,4458.09,8399.25,1578.00,6180.00,1977.37,1454.19,203707.00,372087.00,144.00,92.45,71.45,24.54,0.43,0.25
71,> 50 microns from soma center,0.27,120.68,13.92,0.13,0.45,8555.00,7812.00,7022.00,7143.00,6110.00,6787.00,6110.00,6787.00,1090.49,473.38,21066.00,21429.00,14.00,93.09,72.61,25.04,0.66,0.01
72,> 50 microns from soma center,0.20,120.59,14.77,0.12,0.93,5893.00,7195.00,4188.33,7017.00,2252.00,6698.00,2252.00,6698.00,1495.43,226.07,12565.00,21051.00,14.00,92.94,72.75,24.71,0.54,0.00
73,> 50 microns from soma center,0.48,121.63,14.12,0.12,0.20,1794.00,7642.00,1017.60,6558.00,710.02,6051.50,684.00,5675.00,409.52,715.13,5088.00,32790.00,22.00,95.10,71.24,25.96,0.50,0.01
74,> 50 microns from soma center,0.69,120.33,13.66,0.08,0.64,5071.00,12147.00,2513.67,8099.33,1874.50,7127.27,809.00,5557.00,1353.85,2122.36,15082.00,48596.00,26.00,93.20,71.59,25.88,0.68,0.03
75,> 50 microns from soma center,3.16,120.74,14.49,0.20,0.75,11885.00,27738.00,5355.59,11570.70,5095.70,9740.56,1780.00,6506.00,1923.46,4543.04,208868.00,451257.00,112.00,80.85,87.45,19.87,0.64,0.27
76,> 50 microns from soma center,0.27,122.46,15.72,0.20,0.48,4313.00,6943.00,3154.25,6474.25,3071.75,6108.74,1665.00,5998.00,966.53,423.07,12617.00,25897.00,18.00,83.42,87.37,20.14,0.63,0.01
77,> 50 microns from soma center,3.48,121.83,15.17,0.20,0.71,12667.00,21448.00,6441.61,11404.50,6151.53,10607.40,753.00,6283.00,2804.08,3666.27,315639.00,558822.00,122.00,82.89,86.87,20.64,0.68,0.34
78,> 50 microns from soma center,0.19,119.60,15.16,0.00,1.92,4986.00,7606.00,3626.33,7167.00,1576.00,6367.00,1576.00,6367.00,1475.31,566.58,10879.00,21501.00,14.00,80.40,86.20,20.24,0.66,0.00
79,> 50 microns from soma center,1.00,119.69,16.55,0.44,0.26,7650.00,13304.00,4334.38,8504.75,3573.62,8266.16,2841.00,5892.00,1418.63,2139.05,34675.00,68038.00,32.00,80.68,85.85,21.12,0.59,0.04
80,> 50 microns from soma center,2.04,119.37,16.47,0.19,0.80,9487.00,9957.00,4320.84,7471.40,3912.07,6652.88,941.00,6041.00,2067.25,1306.12,108021.00,186785.00,84.00,80.75,85.26,21.43,0.57,0.12
81,> 50 microns from soma center,0.88,119.15,18.71,0.19,0.53,8379.00,11002.00,3566.91,7363.91,2701.34,6521.84,1976.00,6183.00,1866.07,1433.56,39236.00,81003.00,40.00,79.95,85.76,21.24,0.67,0.04
82,> 50 microns from soma center,0.56,125.25,18.26,0.29,0.29,6259.00,10813.00,3481.71,7355.86,2903.83,6436.06,1921.00,6004.00,1361.77,1530.87,24372.00,51491.00,30.00,84.56,90.31,19.54,0.60,0.02
83,> 50 microns from soma center,0.53,94.31,18.47,0.35,0.45,7834.00,9676.00,5297.80,8851.00,4346.44,8376.17,2423.00,7647.00,1830.83,775.40,26489.00,44255.00,22.00,67.03,60.76,26.66,0.71,0.02
84,> 50 microns from soma center,0.37,95.34,18.72,0.20,0.48,9695.00,8606.00,6560.75,7104.50,5677.19,6591.88,4105.00,6510.00,2040.58,869.61,26243.00,28418.00,18.00,67.63,61.83,26.33,0.62,0.01
85,> 50 microns from soma center,0.52,94.73,18.99,0.31,0.38,8970.00,8354.00,5010.83,7331.00,4034.16,6799.24,3428.00,6155.00,1887.49,905.07,30065.00,43986.00,26.00,67.33,60.75,27.36,0.62,0.02
86,> 50 microns from soma center,0.21,93.01,18.03,0.13,0.45,4048.00,8073.00,3434.00,6616.00,2901.00,5675.00,2901.00,5675.00,471.75,1044.76,10302.00,19848.00,14.00,67.18,58.13,27.55,0.64,0.00
87,> 50 microns from soma center,0.47,93.89,19.75,0.42,0.15,5403.00,9994.00,3746.75,7596.75,3820.01,6541.63,1430.00,6168.00,1453.67,1490.99,14987.00,30387.00,18.00,66.69,60.02,27.65,0.66,0.02
88,> 50 microns from soma center,0.78,92.44,22.39,0.18,0.49,6392.00,7756.00,3475.25,6812.25,2642.38,6452.56,2409.00,6036.00,1256.01,642.14,27802.00,54498.00,34.00,67.16,58.38,25.03,0.46,0.02
89,> 50 microns from soma center,0.27,93.18,22.42,0.25,0.50,9435.00,8266.00,6296.50,7130.75,6008.99,6666.61,2246.00,6177.00,2631.37,787.85,25186.00,28523.00,18.00,67.58,58.52,26.29,0.63,0.01
90,> 50 microns from soma center,0.12,96.00,22.52,0.39,0.47,2096.00,6893.00,1905.67,6209.33,1549.00,5863.00,1549.00,5863.00,252.39,483.44,5717.00,18628.00,14.00,68.43,62.01,26.24,0.78,0.00
91,> 50 microns from soma center,1.67,101.08,23.98,0.32,0.39,7064.00,14872.00,3329.67,7608.06,2976.38,6599.73,722.00,5460.00,1349.53,2201.86,59934.00,136945.00,66.00,71.99,65.85,26.45,0.56,0.09
92,20-30 microns from soma center,2.48,95.06,45.69,0.27,0.48,9411.00,14223.00,3828.22,7961.17,3002.80,7552.22,911.00,6091.00,2158.62,1755.37,88049.00,183107.00,88.00,68.84,59.78,26.92,0.45,0.11
93,20-30 microns from soma center,2.48,97.89,46.43,0.18,0.59,6561.00,12226.00,3072.71,7894.25,2539.29,7626.29,644.00,5861.00,1522.99,1444.90,73745.00,189462.00,86.00,70.14,62.63,27.20,0.46,0.12
94,20-30 microns from soma center,0.61,98.41,46.27,0.25,0.49,4955.00,9197.00,3265.71,7185.14,2412.81,6605.90,1701.00,6456.00,1346.42,918.77,22860.00,50296.00,28.00,69.32,64.34,27.17,0.67,0.02
95,20-30 microns from soma center,0.15,101.21,46.03,0.13,0.45,2057.00,6504.00,1490.67,6342.67,1078.00,6081.00,1078.00,6081.00,414.18,186.70,4472.00,19028.00,14.00,72.64,65.31,26.49,0.63,0.00
96,20-30 microns from soma center,3.59,101.97,46.25,0.33,0.50,8909.00,22105.00,3445.18,10167.60,2940.00,8879.02,824.00,6134.00,1701.16,3762.04,151588.00,447373.00,130.00,73.28,65.56,27.02,0.57,0.27
97,20-30 microns from soma center,0.71,101.72,45.76,0.22,0.66,4510.00,10052.00,2729.00,7367.75,2395.94,6434.32,902.00,6177.00,1115.65,1354.57,21832.00,58942.00,34.00,73.06,65.34,27.22,0.64,0.03
98,20-30 microns from soma center,1.01,95.58,45.23,0.36,0.32,8253.00,10900.00,3211.80,7900.30,2534.19,7213.84,588.00,6158.00,1962.06,1363.83,32118.00,79003.00,40.00,68.99,60.12,27.61,0.56,0.04
99,20-30 microns from soma center,3.49,98.15,45.37,0.31,0.56,7151.00,18496.00,2803.39,9695.39,2607.13,8869.16,616.00,5986.00,1463.80,3166.97,159793.00,552637.00,138.00,70.92,61.99,27.57,0.68,0.34
100,20-30 microns from soma center,0.30,98.74,45.34,0.39,0.47,4840.00,8748.00,2783.00,7866.33,1640.00,7016.00,1640.00,7016.00,1457.52,707.43,8349.00,23599.00,14.00,70.85,63.45,26.51,0.66,0.01
101,20-30 microns from soma center,0.36,99.12,45.31,0.25,0.50,2883.00,9576.00,1981.00,8078.75,1959.94,7186.50,695.00,6984.00,810.89,1055.74,7924.00,32315.00,18.00,71.02,63.43,27.54,0.61,0.01
102,20-30 microns from soma center,0.21,99.98,45.30,0.13,0.45,5959.00,8133.00,4217.00,6383.67,2172.00,5495.00,2172.00,5495.00,1560.81,1237.02,12651.00,19151.00,14.00,72.11,63.60,27.43,0.62,0.00
103,20-30 microns from soma center,1.84,100.84,44.90,0.18,0.67,3919.00,9450.00,2594.48,7695.67,2643.57,7575.67,749.00,5998.00,803.20,1060.20,54484.00,161609.00,66.00,72.03,65.09,27.27,0.63,0.12
104,20-30 microns from soma center,0.19,101.61,45.48,0.39,0.47,4649.00,7694.00,3395.33,6808.67,2737.00,6241.00,2737.00,6241.00,886.85,634.29,10186.00,20426.00,14.00,72.41,65.64,27.82,0.73,0.00
105,30-40 microns from soma center,0.24,102.16,34.78,0.25,0.50,3623.00,7205.00,2534.75,6634.75,2479.32,6414.71,1032.00,6264.00,956.36,357.37,10139.00,26539.00,18.00,72.94,65.83,27.96,0.70,0.01
106,30-40 microns from soma center,0.42,101.17,34.71,0.15,0.35,2620.00,9072.00,1498.50,7799.25,1180.84,7478.25,814.00,6522.00,678.13,929.27,5994.00,31197.00,18.00,71.63,65.95,27.50,0.64,0.01
107,30-40 microns from soma center,4.83,94.24,35.56,0.28,0.56,10310.00,26489.00,4233.28,10866.20,3950.03,8980.79,844.00,6208.00,2036.22,4439.29,317496.00,814967.00,202.00,68.13,58.71,28.13,0.57,0.43
108,20-30 microns from soma center,0.90,96.61,36.62,0.53,0.21,5752.00,7468.00,3080.89,6833.67,2583.29,6784.77,1169.00,6270.00,1273.68,348.79,27728.00,61503.00,34.00,69.58,60.97,27.83,0.52,0.03
109,20-30 microns from soma center,0.21,101.74,36.48,0.12,0.93,5122.00,7878.00,3711.67,6906.33,2068.00,6107.00,2068.00,6107.00,1257.66,733.20,11135.00,20719.00,14.00,71.05,67.01,28.51,0.65,0.00
110,30-40 microns from soma center,2.49,101.90,34.70,0.17,0.72,10039.00,10611.00,3765.26,8141.15,3521.80,7664.06,613.00,6147.00,2096.02,1301.28,101662.00,219811.00,98.00,70.94,67.10,29.15,0.49,0.13
111,20-30 microns from soma center,1.97,102.15,38.07,0.22,0.77,6800.00,11074.00,2959.77,7983.36,2330.26,7416.09,681.00,5723.00,1692.71,1863.52,65115.00,175634.00,74.00,71.26,66.89,29.72,0.61,0.12
112,20-30 microns from soma center,0.28,122.74,37.70,0.39,0.47,6084.00,8720.00,5015.67,7172.33,3834.00,6386.00,3834.00,6386.00,922.05,1094.41,15047.00,21517.00,14.00,96.60,70.58,27.42,0.73,0.01
113,20-30 microns from soma center,0.32,123.43,37.53,0.13,0.45,4249.00,7498.00,3193.33,7031.67,2308.00,6487.00,2308.00,6487.00,801.51,416.44,9580.00,21095.00,14.00,97.09,70.66,28.56,0.69,0.01
114,20-30 microns from soma center,0.28,107.92,38.80,0.39,0.47,3028.00,8894.00,2034.00,7308.67,702.00,5791.00,702.00,5791.00,979.20,1267.70,6102.00,21926.00,14.00,89.82,59.57,5.44,0.82,0.01
